playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B,40,spotify,Spotify,3186018
37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B,45,spotify,Spotify,2386964
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2030733
37i9dQZF1DWSfMe9z89s9B,Alternative R&B,100,spotify,Spotify,860678
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,50,spotify,Spotify,481187
37i9dQZF1DX1wNY9tfWQsS,Women of R&B,70,spotify,Spotify,346718
37i9dQZF1DX2WkIBRaChxW,R&B Right Now,62,spotify,Spotify,326857
36scvoM0cRA50MCZGhv3wo,R&B Party Classics,134,sonymusicentertainment,Filtr Sweden,315857
37i9dQZF1DXch2nNxu927l,Suprême R&B,50,spotify,Spotify,269040
37i9dQZF1DX7J2y2eWxEnR,R&B Connect,60,spotify,Spotify,163568
56MTyW6qYrCrVLidmREddO,R&B/THROWBACK JAMS,276,paulapooh,Paula,123844
6PvLmTX0j8snmCi960Sb21,This Is R&B!🎤,78,yrkjs6dnap7oc1bjc33f95h1d,DjLinkYou,122691
37i9dQZF1DX6EQe4DjJNfI,R&B Brasil,80,spotify,Spotify,119099
37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,55,spotify,Spotify,108274
37i9dQZF1DX7FY5ma9162x,R&B Favourites,100,spotify,Spotify,106906
7rIUjHHI7hlbpXG7VSqfg5,"Old School RnB, 2000s R&B",243,karolrodis,karolrodis,106664
37i9dQZF1DX942d1NzGgzk,R&B UK,60,spotify,Spotify,91480
37i9dQZF1DX6GYkg76TRV8,R&B Feels,67,spotify,Spotify,91266
37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B,50,spotify,Spotify,78197
3rA95eP8FhZHEV7pJga7Pz,r&b catalog 🎹,15,n9ilxxb0orfjs1go642hkj919,wave catalog,61507
37i9dQZF1DX4CB6zI8FWXS,Groovin' R&B,60,spotify,Spotify,61469
0FxQnbQyrulg3PKzjjYhnF,Old School R&B | 1990-2010,593,1295843890,1295843890,60777
1087ps6cCiRve7KZiaRu49,R&B: Smooth 🥃,16,vk88az367lu3ru8gytcnx8wu3,Social Soda Club,54052
37i9dQZF1DX04mASjTsvf0,R&B Classics,100,spotify,Spotify,44993
37i9dQZF1DX2LoIIQLAhdb,R&Bae,40,spotify,Spotify,42918
37i9dQZF1DWXBQyF1RJj8Y,R&B du kender,75,spotify,Spotify,32945
37i9dQZF1DXdqxfWN3raU3,R&B Latino,100,spotify,Spotify,32933
37i9dQZF1DXa56nCfFVHm7,R&B Workout,55,spotify,Spotify,32632
6rmfGpSykXk5bAzWiyyMa8,R&B Now,23,8hxuod7t62uwhc69peu5vjz8i,D'Davis,27307
1kzWYGpdZ5pDESETQa63mr, R&B Throwback (90’s-00’s),443,12174746424,Maria Raniela,26024
6zkEy4ZOzkvcJ8EndWCgu2,RnB 2020 // Top R&B Hits // R&B 2020 ,30,bestnewplaylists5,bestnewplaylists5,25862
1Te7qxGGp1zlWng9qWCx4J,R&B 2000's mix,268,saloni44,saloni44,25242
37i9dQZF1DWY4mdqxyphgb,R&B klassikere,74,spotify,Spotify,23822
1Os7m597ihMJ4xTohCkZIz,R&B Hits 2020,171,savz8vts72hqdy7von3mqc29g,Esydia,21274
4jCtgTbM8IfhB551206q6P,2000 R&B Hits,191,12155088627,12155088627,19203
