track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6nTcn8CybBcx0t7IaXEJ6O,Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,6zuCJaxmHKNKN5hMDF556U,251640,2000-04-18,55,0.608,0.76,4,-5.851,0,0.242,0.0129,0.0,0.332,0.366,168.211,6nTcn8CybBcx0t7IaXEJ6O,6nTcn8CybBcx0t7IaXEJ6O
7FWuzwapuKHTEyDJIcQOw3,Stutter (feat. Mystikal) - Double Take Remix,3zTOe1BtyTkwNvYZOxXktX,Joe,6zuCJaxmHKNKN5hMDF556U,213026,2000-04-18,55,0.767,0.759,6,-6.516,1,0.117,0.0513,0.0,0.31,0.677,89.989,7FWuzwapuKHTEyDJIcQOw3,7FWuzwapuKHTEyDJIcQOw3
3QE7ObGjkt1kYnhLvZPRUy,Go On Girl,21E3waRsmPlU7jZsS13rcj,Ne-Yo,52q9xNv8COtSU9phlbO5sg,261426,2007-01-01,65,0.637,0.521,4,-6.959,1,0.109,0.155,0.0,0.0945,0.562,83.896,3QE7ObGjkt1kYnhLvZPRUy,3QE7ObGjkt1kYnhLvZPRUy
6De63WRULDaa1fxOyLilnv,Stingy,7r8RF1tN2A4CiGEplkp1oP,Ginuwine,3t4OgAvvOzvXw8D2NHUeDR,259493,2003-04-08,54,0.622,0.573,1,-6.934,0,0.0547,0.26,0.0,0.173,0.617,127.132,6De63WRULDaa1fxOyLilnv,6De63WRULDaa1fxOyLilnv
08fhbfRSg7eEH0IZT7pB6a,That Girl,1goOx6gnQdUllLfSMsL4Rt,Marques Houston,4sAouJxcSwPIoT5dd6Qgj7,215960,2003-10-21,53,0.683,0.552,10,-5.139,1,0.108,0.548,0.0,0.221,0.519,98.946,08fhbfRSg7eEH0IZT7pB6a,08fhbfRSg7eEH0IZT7pB6a
72Oh7sKJUEINkQnoPO4kHS,Talkin' To Me (Edit),08rMCq2ek1YjdDBsCPVH2s,Amerie,3KUaoEXmzVovDKWionaofI,234706,2002-07-30,54,0.744,0.406,8,-6.378,0,0.0722,0.113,0.0,0.0316,0.725,89.942,72Oh7sKJUEINkQnoPO4kHS,72Oh7sKJUEINkQnoPO4kHS
5tFDgH6do20IXdSoNBAmXK,I Should Have Cheated,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,4zEAsP0RIfbGARdtsgAaUV,327693,2005-01-01,62,0.436,0.533,2,-4.266,0,0.0472,0.265,0.0,0.332,0.366,130.768,5tFDgH6do20IXdSoNBAmXK,5tFDgH6do20IXdSoNBAmXK
4VKnkoNNM6yTb4cXXX3wqD,Shake It Off,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,43iBTEWECK7hSnE0p6GgNo,232840,2005-01-01,61,0.777,0.493,2,-6.516,1,0.126,0.181,0.0,0.108,0.82,134.086,4VKnkoNNM6yTb4cXXX3wqD,4VKnkoNNM6yTb4cXXX3wqD
0quNCQBS4g9P8V2pbP0Q5U,He Is,05oH07COxkXKIMt6mIPRee,Brandy,7721xmJK5tmifUQdcmJ6An,261133,2002-02-25,52,0.594,0.404,7,-7.578,0,0.0346,0.27,0.0,0.0732,0.378,135.99,0quNCQBS4g9P8V2pbP0Q5U,0quNCQBS4g9P8V2pbP0Q5U
0JKjqJLo145b1mqA6MnhIl,Do You,21E3waRsmPlU7jZsS13rcj,Ne-Yo,52q9xNv8COtSU9phlbO5sg,228266,2007-01-01,60,0.588,0.614,5,-5.857,0,0.0726,0.31,0.0,0.321,0.59,121.299,0JKjqJLo145b1mqA6MnhIl,0JKjqJLo145b1mqA6MnhIl
