playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs,107,sonymusic,Filtr Norway,508764
62pRqlBrKNhjJys98FTCoR,Breakup Songs,72,er32ebvzz277tfmxmh4hlwf0k,frtyfve,71248
3M2bwfoxDYOrV6yKPYaIiS,Kourtney Kardashian's Breakup Playlist,36,hbyyus8o128omibexm6w9sjr1,Poosh,32114
39OgL2gL7gnFSUl5Bvo3Zm,Broken heart songs / breakup songs,305,julie.jb-no,julie.jb-no,22579
2qrcRUgIXinCWyUFAbIn7R,breakup 💔,410,r_nae22,Renee Won,20153
3gtGyk1hQFsQQbYw71ltnI, female empowerment/breakup songs,181,oliviamaurer_,Olivia Maurer,10903
0UqKZxlfyUavUHZsBqCQem,Breakup playlist 💔💔💔,88,inafina12,ina granér,8159
0Se0pDVMfxbndIEMRu6k70,Lofi Breakup - Sad Lofi Beats,63,udzfheh97b7w0yf0s2ddrn013,Lofi Lurks,7972
5P30QJuUANvhoS1phFtBAh,Breakup songs 🖕🏻after being dumped,143,eg0v6n8a7j0vv5kaxfsdgd9z7,S.melnyk16,7311
12kPjYo6GyCzamnpET3Xd9,Empowering Breakup Songs ,163,thriftshop88,thriftshop88,7097
2r1Ouaed7XrzTvkwclcOf5,Breakup Songs,254,0ajpulhwgbd8sywvk9hfuxe6p,Alexa Fredericks,6868
78A7ZCoqYoaCFNMLJTfis1,breakup playlist( ･᷄ὢ･᷅ ),203,_leslie.c,lesliecital,6656
1s46XlyR2fNyHHMEMLdZSf,breakup songs to scream to in the car,85,1290715844,Makayla Erin,5820
5AcomwwQNKmnaQS9DosR1S, Break Up Songs For Guys (Breakup Playlist),445,1228301452,Derrell Record,5423
5hNubL1qntoPw2otRxW2zF,FUCKBOYS/BREAKUP,234,12177805630,sophia dashing,5142
6zyTEKWRjYVfjBqGUQTAqg,Breakup playlist for getting over your ex,115,abby92902,abby92902,4870
6UwCh7r6rjsGt5NQBKTJuC,bad bitch songs after a breakup ;),185,z60ewntwmdubf1ms7z8snaotk,Delilah Hernandez,4566
0ZIAwguG6gaajpgR3ZasCt,breakup country,119,jadieburney,jadieburney,4353
3H4zDEbU87qoAGwwQ2EQMi,Breakup:(,89,abundy20,abundy20,4054
4tIfA8OAtNEq5a27RC6jkC, breakup songs to scream to,90,scalcioneemily,Emily Scalcione,3563
7kwi6Dsto66HnaWIZc2TKb,after breakup bad bitch vibes u deserve better hny,79,suu_chada,suchada,3165
5wJi7Yk2KNUJ2vOFvtXoi4,Breakup Songs For Girls,125,117687144,Matt Johnson,2907
3t5lq8ND8iJHCEG3jocyY4,Taylor Swift Breakup Playlist,35,gemawheatie,gemawheatie,2900
4LkEuyJjv4MVIDWh9QExsp, ANGRY BREAKUP PLAYLIST,70,hughescorinne82,hughescorinne82,2714
62EbNtRyeotKynSgu6mcvR,Bollywood Breakup Songs,87,128271849,Meena Islam,2587
4hRN5ocMkMzKWnolpT1Rja,Breakup Songs 2020 😢 Break Up Sadness - Sad Hits,129,tunemunk,Tunemunk Records,2376
6ueDDyPTpkiEusVltWrUzC,Breakup Rap,250,tori.8.kaspar,tori.8.kaspar,2328
03MHajkkOuDrAszj6Lw9nG,post breakup GLOW UP,40,12135483791,Amanda Wilkins,2214
6YVPrj5K68pUyIa56g6DgS,breakup playlist,121,5nchtopyaz2ws9bhzxgldzbqx,Shirleyhudak,2105
2LjlPeCjRNNg2qq6OGw2mx,angry bad bitch breakup,81,mollypop4502,mollypop4502,1976
71EfEBa5IU8rFrDAccc7EE,Angry Country Breakup,72,1247344190,Nate Cole,1947
6wfGM7wLTulVylBXtN3OMq,sad/breakup songs,66,faithsharkey13,faithsharkey13,1828
165nHgMwSV6cgZieNmU3jC,breakup songs,69,kiannnnaa_,kiannnnaa_,1713
79i6eCsVLjnehAztmlT3GD,Post Breakup Healing,80,1216076056,Venus Melody,1449
2eCTESigu3Ov8gSBpU6G16,Breakup Songs for Guys,24,dva9ps6ghdhb9ij9m2nkpr1zj,Audio Assemble,1443
7p6oSuF8WZajIXBMNHT2Td,BAD BITCH BREAKUP PLAYLIST,196,71vg9rew8y4cu4bu2lmozsbyl,Kourtlong234,1408
4VfU8IhG9zR5YYYMlYaVZl,country breakup songs ,46,1291237475,Lexi Bowers,1283
3VW8oSz81SQ3RcGRoj4Lrs,"Taylor Swift Breakup Songs Through Denial, Anger, Bargaining, Depression, Acceptance",37,t5dplcd8jwagl7gbp5dfb7466,Emily,1234
4X3gu2aIcCqtU39fefMWyn,BOY BYE!!! | Angry and Empowering Breakup Playlist,105,12133153190,12133153190,1159
7jlskkaqNo4UR02b1rUooF,best friend breakup,21,amandaabess,amandaabess,1132
1t3qWOxZjKxsj9KJSatRrx,Indie Breakup Songs,303,anelisurrutia,anelisurrutia,1130
5ux54xL9hrakBExBttBkR9,Fuck Fake Friends/ IDGAF/Breakups/Confidence,186,hje.15-us,hje.15-us,1117
0Ce7fCBxFShQQsPh5K7s7S,Breakup Songs (Rock/Alternative),112,21ecxksr7i4wyrhzvsjy4np7q,No Poetry,1097
6va3gLJcRRhVVP44xQuMes,Fuck-You Breakup Songs✌🏼,69,1238491993,Brianna Bice,1048
6TyY483WeUZ5d2MEL9jeSH,Country breakup/sad songs,285,22fztvnb3257kz3e6f3pjpuji,Haiden Noelle,1012
4Bvun8J0bpNMjTvAlqXvP6,Potential Breakup Song – Aly & AJ,150,scholep,scholep,972
0jnK893CSYvtpFvSLWGj6U,sad music after a breakup🥀💔,36,sxb72r16cnrg8vujzi4keigo3,Bręńįk Ñåvâ,938
0nKpNOkja1dFJd0jhRCqsb,single girl breakup 2020,212,ellybombelly,Eloise Claire,934
5FeHyyiioSObGs9mIVqW5b,sad songs for sad breakups,36,rosendalesings,Rosendale,833
372UdpWnRR6bchI6cMEXsz,angry breakup,85,emilyiverson19,Emily Iverson,803
37i9dQZF1DWZ7k2mKVeUJ5,Top Breakup Songs of 2016,17,spotify,Spotify,721
1LDxyO1K51z9aguSzmzC0T,breakup playlist pt. 2,41,120w79gmd3x2u2snibtk15k9c,Dreadhead.teee,712
1uJ8oXOFfdIXjf0hS3fMvk,2000s breakup songs,64,1231719990,Katrina Rusinek,708
7qYOZsMpxYXKJcku2wpwB7,Breakup/Move On ,43,yyap8mgcn7jiwi7wfjs2ene9u,allyjoyce,647
391Y11c6r9c8sqNnFskeEi,Country breakup girls,24,rrtjv138zek3upaut9wo11pkb,Cbowsher,637
5QvKJL7Pa4EMBV0EMEVSrx,Tamil Breakup 💔,49,danen1911,Danen Nair II,622
7CXg51yEuBgoSqDIhhx0mX,Breakup Party,174,1127828460,Nishkaam Tandon,608
1OBTOI3uqFFzJphTaNM35e,best breakup playlist ever,162,lilytheloser710,lilytheloser710,600
10EqoQAKX0sV0bt7K6mTdT,breakup/hype💜,112,alicerosedixon-gb,alicerosedixon-gb,599
0IPsw2qtlXbQ5zTJpM8M76,happy breakup songs,82,wishforblue,Mae Durack,572
0lmmczzZO7oMhdWvyI6A6P,Telugu breakup songs,26,fpkbrpw310kjy4hy6rnoefivq,Ashrithsarma,555
7nXhzo9V0O40KFsdTCVbHn,R&B Breakup💔,36,lashonamoore,lashonamoore,516
0j2P7o70CqEtXJwCNWf2vL,BREAKUP HYPE!!!!,106,carolinempick,carolinempick,514
5kMPVFl1oIe0yKyuWEHatd,songs to cry to after a breakup ,62,aczsi44jgtd7po37wsacia5n6,phoebe fauss,512
3xoyfnJwkbox7YqtFRcfo9,OPM Breakup playlist,156,dw9lcoaicuuxb6qgotjfih4r2,jb,498
07sybDjlqUMBFA1PwUR3Ld,Angry Female Country Breakup,46,friedliney,Caroline Friedmann,474
7hgKZPj3EqoSWz4TzlN73o,Post Breakup Bad Bitch,55,payton_bean03,payton_bean03,415
6kzO7GZtj4irGbyChZDOLo,Breakup Playlist,17,12155870322,Crisha Uy,399
1zZ7RGGKtU7PpAry2pIDu9,friendship breakups🥺💔,53,dogluver12!,Mady,375
06y2rLnWvRmF7jM6vXgark,Breakup Mashup Songs Bollywood Hits - Bollywood Breakup Songs - Bollywood Romantic Songs,53,9nl104ayrct7lq04ob851vemg,Playlisted.me,364
33oM3Ero7XyGBOghTOP2tY,hindi breakup,31,nkn219ra8bbrv7tusb19476zb,Tanyaaade,361
5fyuaTKa9fwuz6wukwxQcA,country breakup playlist💔🤠,141,21rbke2r525icbtj4nlw3noiy,Julieana Rodriguez,354
02BuvgOEiLpJyHcYmRlYWl,Revenge breakup songs,43,mcguek20,mcguek20,349
6nCMpjVl2WNeuqIE6BNSex,Breakup songs (rock and metal),331,1288312702,Zack Duncan,325
4hIB8Up9iXEtukB3j3vhPT,Breakup Mashup,30,odd9p2qfdo1d9naw9oeulu2f0,Avani verat,320
1hE60KWTgEqJYwmJXmpekJ,Breakup Country 2020,32,12176424103,Ashley Cooke,274
6jRtcFwmrjWcqwZNibOB2P,Breakup songs to cry to 💔,18,fhijwydefmtzusheopkf8p0l3,Madison,271
37i9dQZF1DXd2sRnDyVlzq,Breakup Songs 2016,18,spotify,Spotify,260
2liOICQ903gHNxsMYHl9oP,Breakup songs(Telugu),27,31iaupqnvfg5nm4t7ybulycznw3e,sankeerth,204
1YWhTGHbW8SamlGbNFwFBI,post breakup baddie,127,shann.dawson,shann.dawson,196
4pPcRH95nvV7sDn6OTiBQ8,Hindi Romantic/Breakup Songs 🥀,69,1211982207,Esha Verma,183
71WwgHVfrHhyMojRfo2msz,breakup confidence POWER,129,trylsvjx63xuz9wfw27cfxhk5,dollyyy,179
36WiRiWoTkbuZBG1IRt67G,breakup playlist🥺🥺,45,x4d8umouif2elq82fefvmvv22,daasha.xoxo,164
1JD4t7EHEiPDIcMrrP2nZj,Breakup Moving On Songs ( CURRENT CHART ) ,50,a4b8bvshl4vfrjk37avjnd0fo,Current chart Music,146
5YEsi3vjjGYdN3kRLOEvf6,BEST BREAKUP RAP😭💔,53,charliemanqwerty984,charliemanqwerty984,133
0G3odaTmIaIRCbyQ10rHwu,Sad Country Breakup,26,p9z303sjayy2l0w4ilxkbq2vd,Jessica,115
5HBqR8W8ZiTJtaiBpRfSKG,After breakup hindi songs,29,31r2te3q5j2f4hbh7fopfh32uycy,Anjeet,111
7hFDyUrHF19hGO3ellgBsd,breakup songs by female (country) artists,24,22kzzhesxcofwmaavrv5iow7a,Audra Nicholson,77
1VDH9pmzAIlPsUw6qAwWo2,breakup,26,16e89kwxkttx1c1ye3ipuj6gs,seah yoon,77
11sFZroy30SjsAHbajIJiX,breakups and breakdowns,186,shayhey1212,shayhey1212,59
12vrFIVsiSIUYTNgH6j40K,post breakup glow up ⚡️,98,12183645013,Jessie Jin,53
6zMFcIGytnAtM3nidlR9jG,Sad/Breakup/Judai (Hindi) ,14,ekuqyde231nhduoi1bgwr05w1,Tarub ,40
1OImnT7OVc2xQfTMw13VTx,Breakup Songs 💔,85,datmarinellasauce,nellasauce,30
5T6nqQVpeMPyMvkaBtByW6,breakup songs for your moving on,26,eeuf3kswne5zm2iyimfpazzrl,Quynh Anh,26
2VMCeyjgJzRbRyPlyLXfNy,Bad Bunny Breakup Vibes,15,asos9635,asos9635,24
5vdKrSDOa5SjVZQPIMh8B8,Breakup Mashup✨,43,36l12rbwf20humcfpb2mptby3,Maz.x,17
53XwZf9gAoHp47jEbruT4y,breakup hype songs 🤩🥂💋,106,harper._.,blue beary,8
3YPUCFV8pZXZiK2iafmVs5,Breakup Sex,142,1257866478,Tyler Schuele,5
3c2yyS6M8ydGxZTWnXSzCt,Breakup,49,bkfs5j9w9gehi935shnjnvuoy,Trilogy Music,0
