track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1AYFOC1ijYQ8x2wNcuthxo,Broken Heart Still Beating,76afa7VoUQ4sAc0IXKZ0fa,The Darlings,7psPuMnki8FkfBflPg6Mor,201240,2011-04-01,8,0.529,0.915,11,-3.65,1,0.0335,0.00901,0.0,0.184,0.662,127.971,1AYFOC1ijYQ8x2wNcuthxo,1AYFOC1ijYQ8x2wNcuthxo
5kMJ7aNXaPjEZVaAk8eEId,Bruises,3FUY2gzHeIiaesXtOAdB7A,Train,4tHNFM2544qzsLlfWJ7yWD,231786,2012-04-17,0,0.63,0.791,2,-4.497,1,0.0279,0.0131,6.83e-06,0.232,0.491,102.963,5kMJ7aNXaPjEZVaAk8eEId,5kMJ7aNXaPjEZVaAk8eEId
3UJvgGaBEJcDqz61mbvqAp,Buzzkill,0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,54ZCcmTHjghuPkzFYJzPGf,217853,2013-01-01,47,0.52,0.776,6,-4.787,1,0.0339,0.0293,0.0,0.106,0.502,144.992,3UJvgGaBEJcDqz61mbvqAp,3UJvgGaBEJcDqz61mbvqAp
7FtFgxkkNLfURJQOo4xBBM,Cold Blooded,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,5svfcB1dHyUWTWlhb4TihU,152240,2013-01-01,0,0.485,0.848,10,-4.072,1,0.323,0.565,0.0,0.197,0.338,201.059,7FtFgxkkNLfURJQOo4xBBM,7FtFgxkkNLfURJQOo4xBBM
60Kpf9aeclFYJsmXqnXcFq,Cut You Off (To Grow Closer),2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,5wwQGuazQaPtxOddReACsV,364103,2010-09-14,0,0.685,0.681,8,-7.176,1,0.481,0.077,0.0,0.129,0.614,82.982,60Kpf9aeclFYJsmXqnXcFq,60Kpf9aeclFYJsmXqnXcFq
1iZTuY3wspO4DxFXBD58WX,Dammit,6FBDaR13swtiWwGhX1WQsP,blink-182,2ghxwONTYbBQNxkROvij6C,166266,2005-11-01,0,0.384,0.981,0,-4.209,1,0.0872,2.54e-05,1.9e-05,0.106,0.307,109.052,1iZTuY3wspO4DxFXBD58WX,1iZTuY3wspO4DxFXBD58WX
45ZMZ5WNrvDWxdCuGRoMcE,Daniel In The Den,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,64fQ94AVziavTPdnkCS6Nj,188706,2013-01-01,36,0.386,0.562,5,-6.938,1,0.0543,0.785,1.93e-05,0.166,0.258,114.066,45ZMZ5WNrvDWxdCuGRoMcE,45ZMZ5WNrvDWxdCuGRoMcE
01zPnSlKCw9WLbY0kvNep0,Desperation,7dGJo4pcD2V6oG8kP0tJRR,Eminem,6DN7GcZF1HywzrkGN6Eeqk,236658,2013-11-05,49,0.709,0.923,2,-2.449,1,0.248,0.176,0.0,0.065,0.662,143.992,01zPnSlKCw9WLbY0kvNep0,01zPnSlKCw9WLbY0kvNep0
3QkXEz9TxApuk1JpDmeWnS,Deuces (feat. Tyga & Kevin McCall),7bXgB6jMjp9ATFy66eO08Z,Chris Brown,3pORIbXJiTlG5QbktnpOiy,277013,2010-06-25,0,0.644,0.739,1,-5.103,1,0.137,0.0311,0.0,0.0772,0.231,74.154,3QkXEz9TxApuk1JpDmeWnS,3QkXEz9TxApuk1JpDmeWnS
6EC5hHjYlwVmj8cpjSjJWA,"Deuces Remix (feat. Drake, T.I., Kanye West, Fabolous, Rick Ross & André 3000)",7bXgB6jMjp9ATFy66eO08Z,Chris Brown,2hYWXzaTtPBHAhv2kLVhHG,403786,2010-06-25,48,0.657,0.641,1,-5.152,1,0.295,0.292,0.0,0.0883,0.256,148.261,6EC5hHjYlwVmj8cpjSjJWA,6EC5hHjYlwVmj8cpjSjJWA
5aifxNtaIhbfVMd9aQlqke,Don't Trust 'Em,7EWU4FhUJM1sZQgQKdENeT,Hopsin,3Hm7ILiUwKKaowp1ghy6Ij,337600,2009-10-27,0,0.79,0.489,10,-4.93,0,0.182,0.187,5.22e-06,0.295,0.592,91.023,5aifxNtaIhbfVMd9aQlqke,5aifxNtaIhbfVMd9aQlqke
6s3dgEQgen7G85NtYUTEbD,Every Storm (Runs Out Of Rain),37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,6PcLI5dTPttZi5OrhqcBSA,225640,2013,59,0.525,0.693,0,-6.972,1,0.0327,0.046,9.55e-06,0.247,0.363,107.012,6s3dgEQgen7G85NtYUTEbD,6s3dgEQgen7G85NtYUTEbD
6h2q5GhVc9itEB6NqOEMd4,Eyes Wide Open,2AsusXITU8P25dlRNhcAbG,Gotye,1HjSyGjmLNjRAKgT9t1cna,191253,2011-01-01,46,0.597,0.873,5,-6.114,1,0.0368,0.194,0.0205,0.16,0.643,138.892,6h2q5GhVc9itEB6NqOEMd4,6h2q5GhVc9itEB6NqOEMd4
5bucc34poGOBnycWgSqHev,F'@k You Lucy,1GAS0rb4L8VTPvizAx2O9J,Atmosphere,5EXaWmrRlzRe5uNS6v7y3K,331333,2002,34,0.807,0.756,8,-2.884,0,0.211,0.398,0.000105,0.311,0.655,81.988,5bucc34poGOBnycWgSqHev,5bucc34poGOBnycWgSqHev
4XoP1AkbOurU9CeZ2rMEz2,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,1E1eyI5uGllppJZCxNoF9w,233786,2013-01-11,1,0.869,0.687,1,-6.816,1,0.263,0.0208,1e-06,0.114,0.668,96.006,4XoP1AkbOurU9CeZ2rMEz2,4XoP1AkbOurU9CeZ2rMEz2
5kpnUpMNV9dPNCKY7JtW3Q,Forbidden Fruit (feat. Kendrick Lamar),6l3HvQ5sa6mXTsMTB19rO5,J. Cole,1NfrmcXk8xNennyxQ57JcW,268666,2013-06-14,55,0.838,0.505,1,-9.354,1,0.383,0.548,0.00127,0.211,0.407,110.029,5kpnUpMNV9dPNCKY7JtW3Q,5kpnUpMNV9dPNCKY7JtW3Q
5JH5KmHF5hPzdIuvNzPA1Y,Gimmie That Money,7EWU4FhUJM1sZQgQKdENeT,Hopsin,16SMGvTZrwtiJ132g69toP,249320,2013-11-26,37,0.837,0.641,11,-6.951,0,0.24,0.0896,0.0,0.137,0.579,110.48,5JH5KmHF5hPzdIuvNzPA1Y,5JH5KmHF5hPzdIuvNzPA1Y
65mxB9IWpmVo4qUjdGSxRB,Girls & Boys,5aYyPjAsLj7UzANzdupwnS,Good Charlotte,5CTygC3aONv7l0klY4k3hc,183493,2002-10-04,62,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342,65mxB9IWpmVo4qUjdGSxRB,65mxB9IWpmVo4qUjdGSxRB
0vzb8Ii9B2fP9c0POFGPOZ,"Girls, Girls, Girls",3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,69CmkikTHkGKdkrUZTtyWl,275373,2001-09-11,54,0.509,0.952,2,-4.444,0,0.336,0.144,0.0,0.135,0.7,83.068,0vzb8Ii9B2fP9c0POFGPOZ,0vzb8Ii9B2fP9c0POFGPOZ
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,5ll74bqtkcXlKE7wwkMq4g,207626,2005-08-30,77,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,1PS1QMdUqOal0ai3Gt7sDQ,1PS1QMdUqOal0ai3Gt7sDQ
6qTxjldi89czTihu0VSWrE,Good 4 It,6NMcnx3vKGSAeqSMbySlpw,Wallpaper.,6YmngJdVrLhY3oQUXPbuNI,220293,2013-07-23,5,0.494,0.853,0,-3.864,1,0.0365,0.00881,0.0,0.119,0.228,125.001,6qTxjldi89czTihu0VSWrE,6qTxjldi89czTihu0VSWrE
6YT0soqYkgiBRdc93jZGcN,Good Guys Get Left Behind,7EWU4FhUJM1sZQgQKdENeT,Hopsin,16SMGvTZrwtiJ132g69toP,314680,2013-11-26,38,0.62,0.883,8,-8.512,1,0.436,0.0591,0.0,0.0982,0.519,82.619,6YT0soqYkgiBRdc93jZGcN,6YT0soqYkgiBRdc93jZGcN
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),3AQRLZ9PuTAozP28Skbq8V,The Script,7JOCOjZTcLysDMkZGWlcIj,202533,2012-09-10,78,0.421,0.873,10,-4.343,1,0.0565,0.0653,0.0,0.123,0.63,84.803,7wMq5n8mYSKlQIGECKUgTX,7wMq5n8mYSKlQIGECKUgTX
