playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
4GzQTkoq34jVw9Js0dYxSb,Astronomia Meme | Dancing Funeral Meme | Vicetone & Tony Igy Astronomia,77,soundacer,soundacer,24299
29laTlGIbkQkmaIYv72I5r,Funeral Songs,46,hvbuyco,hvbuyco,7861
0eTF0MJymtbVRLIibi3caV,Coffin Dance Meme  - Remix and Original Funeral dance meme,11,11120428292,Mesut Yalvaç,5359
7fybYnZiJ6da88GOmA5V2y,Funeral Doom Metal,771,rikardjo,rikardjo,3580
0v9cjE3vjgCv0aVXpeIlHT,Doom Metal / Death Doom Metal / Funeral Doom Metal,924,1121479704,1121479704,3516
7vCqWsStT2Zzv0StoWQvQq,funeral songs,264,goody714,alyssa.goodwin,3447
7d14KKwldr7gGa7IL1YOmE,Four Weddings and A Funeral Show Soundtrack,27,v2fgp97sz55dnnsn5dtqrklor,ErynRae,3351
37i9dQZF1DZ06evO2Gwh1O,This Is Funeral For A Friend,50,spotify,Spotify,3018
4s6GHP1OK1FtxzxEq3FUOn,Four Weddings and a Funeral,26,rashelc,rashelc,2961
37i9dQZF1DZ06evO18Yq6G,This Is Dark Funeral,40,spotify,Spotify,2036
2gKqMWh7nrLACRc2wdzFTY,Soft Instrumental Music for a Christian Funeral,55,joshuapthomas,joshuapthomas,1432
2fjSGrckkwxeRbVf21cPom,Funeral Instrumental,127,legacychapelfh,legacychapelfh,1429
1edx5KPlREY9UeptjjspOq,Atmospheric Melodic Gothic/Doom/Death Metal and Funeral,210,teugion,Eugene Teugion,1371
1v1cvGLu2qZlFWiK2B8s5V,The Sound of Funeral Doom,259,thesoundsofspotify,The Sounds of Spotify,1370
0q0Qa0kov54ebgM7uk3kJp,Funeral Songs to Celebrate Life,90,a4zhp97a5uu8x6615hth9887y,funeralOne,943
4JDfzQH4oPSEkdBtI1OPyU,funeral songs for mom,84,rl5571,Rob Lomas,893
5aZ4aYtKDgM18f63wf4Q5d,The Funeral - American Sniper Training,121,hwm-agency,hwm-agency,858
17mk3biSZuHlb10Cy0FipK, funeral doom metal/depression/melancholy..,54,11156210726,Mert Schwadorf,846
38AhKNxgu90d3zhOREr3Jd,Chopin Funeral March ,6,1182328671,Alethea Wun,839
0PD50My5lJMRtFYT55eTTM,Funeral,168,1130210009,Danielle Honcoop,823
2bRCcH3b711etpDVkEZ5n0,Funeral Music Classical,81,huwparkman,Huw Parkman,798
5koxiavHdPaDGpUbp0yoeg,Funeral songs ,39,1281738013,Kenny Chavez Sr.,769
5UWa4gthKwQnUi5ltl3eEN,Astronomia Meme | Coffin Dance | Funeral Dance,61,21vw7mbztp4xhgmz5bj64jaki,Best Dance Spotify,695
6wqytnuKpz8RaWjJRMznXR,Tommy Craze Funeral,104,08mqdvhnv077riqmnm5xs2u34,Cash,648
3UquZ8yxh1ya8Gu462HyFi,sugar daddy's funeral,79,pedrovictorv,pedro,647
