track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2dVisVpQXrH40qDF3oaw9x,Fall In My Arms,0e7jcv95x5MTycydtfg6wv,Embody,7LEvmruxmNNfLX3GDlAfw5,158544,2020-09-18,42,0.727,0.702,9,-5.889,0,0.047,0.0422,0.000283,0.09,0.739,125.017
3hWfKBt3n7j1xqIy6LA5ve,Astronomia,0daugAjUgbJSqdlyYNwIbT,Vicetone,2GgIFRPmPzyqajQKFABMFL,198095,2016-09-16,77,0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093
4CUtpUYfzsu3Yj1zVtvDGT,Mucho Pa' Ti,7qWNbGsqKxguxCzk3Q7ibn,Ana Nieto,3ojZd7xxr5QnEh1iMA1ORU,173808,2020-08-27,37,0.632,0.622,6,-7.616,0,0.301,0.307,0.0,0.153,0.435,170.156
38ec90xq2fKFMRJJahgnYX,Hangover,3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,3wa8KIJVLemjtdJvPQJc4t,142514,2018-01-17,66,0.757,0.719,5,-8.029,1,0.0646,0.0253,0.0113,0.252,0.155,128.007
6lOXsbDNRN7q58pCBl974l,Back When,5NH7AZYpUjd9UL1vR3KMzD,Joanna Crass,5PGdv8VSh9fFMid8HcXWjN,167208,2020-07-10,32,0.667,0.659,9,-7.249,1,0.106,0.234,0.0,0.141,0.668,104.881
1mD6rDsWN5Blp2pgT9Xc61,Astronomia (Coffin Dance),6d4AePmkVnbu2qIbT6vsem,HUTS,1uVEoc0VYER39ZNryu60mI,127058,2020-05-07,50,0.738,0.949,8,-6.555,0,0.0838,0.00323,0.843,0.162,0.288,136.012
7g6jduIx8M2TjlzBD9ItRG,Where Do You Wanna Go?,3tNfCak31ds75TVqS3wEIL,Zeper,66r8zipSjDIsbaLWLTnKoS,166184,2020-05-22,49,0.836,0.642,11,-6.234,1,0.0716,0.624,0.000516,0.123,0.627,107.975
0kYteJqP5iRVIkXv2nNsMb,Crashing Down,2mdhxkqoWFBLtEC5FRkMD0,MKJ,4FJHNXa4eE8GQDNb4M5Mvk,175238,2020-03-06,42,0.621,0.835,10,-3.396,0,0.0349,0.00906,0.00166,0.318,0.274,126.064
06kPf43h8kA3k9W10GOn7f,Demasiado Pronto,7qWNbGsqKxguxCzk3Q7ibn,Ana Nieto,6oM6eTTQWMKGLuXUaUkjv6,194666,2020-07-24,28,0.578,0.436,8,-8.258,0,0.224,0.607,0.0,0.102,0.301,86.672
3LcR0ntqxvHq5ocnFbsyHE,I Don't Fuck With You,5fiYAV2DWASxAUKDq7Gbe9,Luca Schreiner,0DAwAXZ6Pw87NXZA4NkwNl,167944,2020-05-22,46,0.65,0.69,1,-4.788,1,0.0677,0.136,0.0,0.133,0.605,100.069
0xbQckZMzsYBnxqmhr8Dts,Get Lost,3tNfCak31ds75TVqS3wEIL,Zeper,01yc4eLGZGoKDABD02ll9o,184902,2020-04-24,40,0.758,0.581,7,-7.322,1,0.0349,0.412,0.000545,0.0945,0.539,100.035
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,3GqSdhWjmMypMwPLtzoFYs,176840,2019-10-09,92,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,23xCxwjg6Bqwm7rh6n9Kjd,Olympis,1ZmJJdNN2BAnVqoiU4xtZe,139047,2019-11-01,25,0.735,0.5,8,-11.297,1,0.0511,0.415,3.12e-05,0.13,0.119,126.1
6bUQrzq8YMk2hWYfl8dvr4,Drunk N Alone,0BdqSoiFVJSplPq3KSySFz,Jean Juan,1TYKTAp1CXlXYLjUyjuYg7,155433,2020-06-05,58,0.648,0.852,5,-5.713,0,0.0298,0.0638,0.0285,0.268,0.543,127.018
51u91rpOVsphj7LzZYO9YH,Die in Your Arms,3tNfCak31ds75TVqS3wEIL,Zeper,6FTiQmfjee7EcmRhSUJ04k,169500,2020-03-27,49,0.719,0.69,0,-6.115,1,0.0323,0.627,0.0,0.107,0.446,104.967
1ncgrswWea9ciMhcCMBMUq,Get Burned,5NH7AZYpUjd9UL1vR3KMzD,Joanna Crass,20N0YZjoa5tGwuVbpN7pYn,182275,2020-02-21,33,0.728,0.825,8,-5.247,1,0.0822,0.108,3.16e-06,0.137,0.441,100.014
7GJA6KCB0qpCDWwHXEDGwm,Frontlines,2mdhxkqoWFBLtEC5FRkMD0,MKJ,0IR37zUEJ68lPDPTYN66JV,152959,2020-04-10,39,0.426,0.691,2,-4.013,1,0.0462,0.161,0.0,0.102,0.32,191.268
0YU17F0BlVXvmx5ytsR43w,Monster,0TKFPt9w0AAEnhB9bd0pLy,LUM!X,3S7LqjI8EzC8FudcsX2T2W,154226,2019-04-19,76,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16
2tnVG71enUj33Ic2nFN6kZ,Ride It,4ofCBoyEiGSePFAG500xev,Regard,4zOhjJfe0dwqsNdDYk622E,157605,2019-07-26,87,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948
