playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5WNUX6jisX0NRlVDTm6RDd,HipHop 2020‏‏​​   ‍,166,sonymusicentertainment,Filtr Sweden,428286
43udSsOeQC1mlUYf18fb2J,Chill Lofi Study Beats - lofi hip hop music 2020 🌸 lo-fi hiphop to relax/study to,213,savz8vts72hqdy7von3mqc29g,Esydia,214260
18PtAXbx353eX5M7ROSzwE,HipHops Finest,16,npz5x68u99c5yj2vxywzs0o1g,HipHops Finest,203407
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,212,19jconnell79,19jconnell79,166344
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,108,thebootlegboy,thebootlegboy,138788
4QZ4F2Yxc6RLx7ybP0Ozn4,Hiphop NL,62,digsternl,Digster Nederland,122853
4n1MmxkjlOGAVKkDIFxc7f,HipHop Weekly,17,seh44c9tfl325k9zfu6f7rme5,HipHop Weekly,108857
4nEoTzQTZCVf0e1NnPcyXg,HIPHOP NATION,13,kx3q4axl0jim5ehvyv40768ge,Top Gun Promotion,73057
3oYfbpE01BNMgMvmWdKFxF,90s RNB/HIPHOP,331,1118860764,Clarisse Van den Steen,58497
1tVCPJwL5aAIfebsbNVlIh,TIKTOK - BEST RAP & HIPHOP,26,rch34ii0a11wokwp0dquwmrb9,LIT CITY MUSIC,46581
5zWx4nzIkTxHM5fPS6MHnJ,Svensk Hiphop & Rap,129,sonymusicentertainment,Filtr Sweden,44275
3wVuygKfrB3ZrSganknUHo,Planet Hiphop,50,jq2sud1ucnbpfxy3ol1iipnsk,Callup,41515
5TZkls9cEOzWDR6qCxwDot,HipHop 2020,117,theswingingturtle,The Swinging Turtle,41251
2m1a06jWwGTKXkAC2mMtRV,HipHop 2020,133,thegoodfm,TheGoodVibe,40194
4plBI8FtZBDIFZkn88vin1,Amazingly Hiphop,50,xlxwpej99lso537dmdxhj9f32,Amazing Beats,39133
33tfatDTlXxAOJs6uUUFm7,RAP MUSIC 🔥 | HipHop | Trap 2020,103,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,38251
1vIDwjZb8KYW470ihPo5Sd,Blissful Hiphop,51,2rnz5aun197wu6npsxj2as0k9,Blissful Hiphop,37242
6RU5ThcO3yRcLDcQEt87n3,HipHop Solitude,50,up4gdw49gkeaz4dr1j3fr6hyt,Funky Soul,36495
6o1BCSdwXiFX3f3lMfkbED,Ambition's Lofi Hiphop Playlist,83,ambition-music,ambition-music,36436
1MANhtJS3eXcQeJLjRw6FG,Hiphop Favors,53,2tlfrnd33n20c2vk2m5q8q1ue,Inspired With You,36388
4hBswgculKF2cbGVCeex0p,Hiphop Selects,50,68kijfy1sh3bit9jpeqalzx7h,Time for Selects,33481
4IBnRaZlAHrAf5l47F8mke,HipHop Connected,50,cipanwonrzhjuj2emcednb2al,Soundssavage,33034
58fFSQJ8WEdpCJzACUmhqg,Hiphop Filler,50,kjorvedy5150vd7wpkve1fh0m,Colorful Hits,32983
2tuA4DDalLCJxKf2CTEHvm,HipHop/Rap New Hits,27,aozsp32wvtk9l3egte07h61i6,Kevin B,31564
2LgwuztRfDRcmLOdtFlXbJ,Hiphop Discovery,50,rx4rolvmbk6numdmxv49tfiod,Discover Magic,29999
71019EDcRamfMmOEEoTdEu,Sad & Sleepy beats 😴 (Lofi HipHop),130,thebootlegboy,thebootlegboy,26875
0cmkkAINCAsf9u7dq5a3vH,Rap/HipHop/Trap - Just New Hits,98,2lb45rq4s9w780lhm13gkv0n7,Cesar 'M,26072
7IbCA06xBYB0P6InqMV7jC,Japanese LoFi HipHop / Chillhop,82,dn126saxzj654qk9yf82ozahr,Tokyo Tapes,23570
