playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXaXB8fQg7xif,Dance Party,100,spotify,Spotify,4311725
37i9dQZF1DX1N5uK98ms5p,Teen Party,66,spotify,Spotify,3819990
37i9dQZF1DX7F6T2n2fegs,Throwback Party,100,spotify,Spotify,2889420
37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems,100,spotify,Spotify,1948806
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1765859
37i9dQZF1DX5Ozry5U6G0d,Summer Party,124,spotify,Spotify,1720267
37i9dQZF1DX30w0JtSIv4j,Old School Hip-Hop House Party,55,spotify,Spotify,1349959
37i9dQZF1DX9EM98aZosoy,Partyhymnen,60,spotify,Spotify,1094486
4em3xR5YVCP33dIyksqgnh,BTS Party + Dynamite!,99,myplay.com,Filtr US,1040152
37i9dQZF1DWVWiyE9VDkCO,Party Deluxe,100,spotify,Spotify,868788
37i9dQZF1DX0IlCGIUGBsA,Ultimate Party Classics,80,spotify,Spotify,773220
37i9dQZF1DXdgnLr18vPvu,Tailgate Party,116,spotify,Spotify,727183
37i9dQZF1DX4Y4RhrZqHhr,Beach Party,80,spotify,Spotify,690199
37i9dQZF1DX0MXH7aN4Pxn,All Night Dance Party,50,spotify,Spotify,666652
37i9dQZF1DX4RDXswvP6Mj,K-Club Party,50,spotify,Spotify,654129
37i9dQZF1DX9oegrjMzKDW,The Party Hits of the 2010s,100,spotify,Spotify,605580
37i9dQZF1DX802IXCAaWtY,90s Dance Party,55,spotify,Spotify,584248
37i9dQZF1DX1BlWKDM98c2,Pinoy Party,40,spotify,Spotify,414572
37i9dQZF1DWTujiC7wfofZ,Indie Party,100,spotify,Spotify,338120
37i9dQZF1DXd5DCuoVuFY3,House Party,65,spotify,Spotify,320523
37i9dQZF1DX4gOolUyeDaQ,Pool Party,80,spotify,Spotify,316574
0va12zjtBfg7S5KfmDlJuZ,SUMMER 2020 🌞 Party Hits 2020 🌞 Party Playlist & Summer Hits  🌞 Best Songs 2020,157,sanik007,Indiemono,263599
37i9dQZF1DX1tLHZHOkEVR,Wedding Party,148,spotify,Spotify,249817
37i9dQZF1DX8S9gwdi7dev,Halloween Party,49,spotify,Spotify,220652
37i9dQZF1DXe9hay4VT07f,Dancehall Party,87,spotify,Spotify,200991
37i9dQZF1DWTFBYHb2nDSJ,Party In Your Living Room,50,spotify,Spotify,171493
1J2vYkrZaRh9mPoRAiVVmU,Schlager Party,210,d05s12c7yrfuqvabvdm9ns3tk,ICH FIND SCHLAGER TOLL,169943
37i9dQZF1DWTUfv2yzHEe7,Bollywood Party,85,spotify,Spotify,164088
37i9dQZF1DWXti3N4Wp5xy,Pop Party,100,spotify,Spotify,151252
37i9dQZF1DWZz0dmtcndFR,Party Up!,100,spotify,Spotify,135885
37i9dQZF1DX2nwuHNKim4S,Karaoke Party,35,spotify,Spotify,133804
37i9dQZF1DXbIqU3eEXwop,Ultimate Summer Party,50,spotify,Spotify,126865
37i9dQZF1DX7tZql9TtyhL,TBT Party,100,spotify,Spotify,126548
37i9dQZF1DWSjibQnF0bUk,Afro Party Anthems,60,spotify,Spotify,123599
37i9dQZF1DX8EyMj5jl6Tz,The Remix Party,89,spotify,Spotify,120880
37i9dQZF1DX5hHfOi73rY3,Warehouse Party,50,spotify,Spotify,105559
37i9dQZF1DXdnyffTsenNZ,Party Life,30,spotify,Spotify,105248
46x1vxAqkDdZNdD0Ot2co2,House Party 2020,71,a6xjp64s5ruon0td3ws0o2t7a,Another Rhythm,101539
6IfGK9nLC9ChgD7FTZzkLJ,Party Hits 2000 - 2020,223,l.wintjes,Iris Nelen,99346
5oKz4DsTP8zbL97UIPbqp4,Dance Party! Best Dance Hits,448,ua8ynqkuc9ku64gnck4p86c77,Blurred Lines,84077
7ob3RE6EP6ozhFTzgw3kBP,Party Music 2020 | Dance Hits 2020,89,1114174687,Thierry von der Warth,83431
37i9dQZF1DWWSIbOa2nxvR,Arab Party Jams,55,spotify,Spotify,79547
37i9dQZF1DWUUPO0Sbx2CM,Christian Dance Party,75,spotify,Spotify,78525
0BXZFUhCvDu1cTb1mX01ix,90's Pop Party,50,digsterca,Digster Canada,71323
37i9dQZF1DWYubIwLN4Hq2,Country Party,65,spotify,Spotify,70204
37i9dQZF1DX8scDqTzxoFw,Kids Party,94,spotify,Spotify,68149
3rEkY4Z25FQ4x3NJ0pMxra,Country Party Songs ,270,1251776024,Ethan LeBlanc,64194
3J12hwt6CkloPduTnEO2Tu,"Party Mix 🎉 (Club Hits, 90er, 2000er, EDM, House, Malle, Halloween Corona Party 2020, Silvester)",180,jannisrunge,jannisr.playlists,63365
2Na8XnU1CEf2YGFLcp8Mmq,party music 🎊🎉,168,briannaryan29,brianna ryan,61867
37i9dQZF1DX5zmjaed69ZW,Soul Party,41,spotify,Spotify,61430
37i9dQZF1DXa8n42306eJB,Reggae Party,50,spotify,Spotify,58291
37i9dQZF1DX2CqFedmO3RP,Party Chale On,73,spotify,Spotify,56848
37i9dQZF1DXcSzYlwgjiSi,Party Cove,75,spotify,Spotify,54052
37i9dQZF1DWV67mFOgnpbl,Party Hard,65,spotify,Spotify,50892
37i9dQZF1DX0nA91dV2ts4,Tamil Party Time,102,spotify,Spotify,43559
72O6JgPamztlXQeYaYo8LO,mexican party music,99,jesus.moreno4062,jesus.moreno4062,42008
37i9dQZF1DWYE5MI4mMuii,Rock & Roll Party,75,spotify,Spotify,41531
6ibR5GQ3F2xsLQ1X4h7MnT,Party Playlist  2000-2020,322,7wxa0v4e0ibh05lc4ev9ym2le,Thamiliny Thurailingam,40117
3PDvOPJtrGe1cNZQ9XXm8g,Party Mode,62,31timmlmht7efvhfsjyr6dfcsvva,Daniel Greek,37688
4pDc5hu99c1qSPqKp57yEB,PARTY MUSIC 2020 🥳,153,pacificspain,Pacific Spain,34041
2ky5Ksp2PLYeG6P02c4vtP,80er / 90er PartyMix,71,1147319044,Jakob Schultz,33381
79oA8X4BA0aqoLOdjqBae2,Latin Party 2020 🌴,100,21ifzjxggdajdpc4w6iqxslkq,Soave,32455
5ge2YqUbZrmqd2Mve8Uezf,Party Playlist 2020,342,connor.smith09,connor.smith09,32171
3MnaeVYyif6bTqO2PO8wVU,HOUSE PARTY 2020 🔥,106,6xddx5z3wcit5u3roh2u7rfis,HOUSE VIEWS,31269
0o2Pmtn63gXfpXtzD1anr5,90er Partyhymnen,128,svenkrudde,Sven Krudde,30758
37i9dQZF1DX9xdJ1j2eMr3,House Party Hits,35,spotify,Spotify,29836
0VXArnmEB0FQFGt4m4WwYU,2000-2010 party,115,erlemaido,Erle Maido,27709
6eS76RftsuRNmMW7c550Je,Party Music 🎉 Party Hits 2020,146,r65s58lqf0whs4ajimgxazx06,Vynx Records,24031
39LU2n1kT0oedolaD61qfF,Euphoria party,68,sgrvso2cldqu0hophoc05fzry,Carolinelaftman,20581
1brybfKfiWT1sFitZOKpXO,70s Disco Party,61,12611824,Kate Russell,19814
5UvKPR6t7JXXeV96NKAIj3,PARTY REMIX SONGS,382,botzokaaat,Denno,19433
5F3SKpXK5IVGrnxXTr24JK,Dinner Party 🍷,153,sclarke_86,11472916958,19371
1KG8FXfje46d4Ff7fqSS3Y,Party Hip Hop | Rap | Turn Up | LIT | Club,93,rianxm5fs2ars17ca76314xu9,Hip Hop Hivemind,19064
1eSmMnPYycDLqUvZtFxiSr,Russian Party Hits🇷🇺🎶,76,ouvu1qqiz78q688yfea2ac54c,marschmi,16874
5AgbgStY8A4C6C2WkA2GeV,Kid's Dance Party,50,maggisonpie,maggisonpie,16324
65dqNcblDgcs4do9jrJ3Hl,PARTY,111,hph3obsm8zssf5e1no3bwkhct,CloutBase Media,15478
