track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6KpGyJIyA75C0XyAkIcpZn,Moving [edit],63,193132,"['05KDKIpxshxrB9BMewaCBW', '5lVNSw2GPci8kebrAQpZqU', '7CajNmpbOovFoOoasH2HaY']","['Love Regenerator', 'Eli Brown', 'Calvin Harris']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
1MOGJQsVeaRcXY6heJz5UZ,Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit,56,157466,"['263Gr9lGWR6ScnRGjxa3Ad', '0l59CBSPDfKBXlyHya0pew', '2L3kwZFd16zjHz9a5kEPAm']","['DR. KUCHO!', 'Gregor Salto', 'Ane Brun']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
4t8ilMPQ7E7S6pB4i4Kf2I,Techno Prank,71,203406,4cdyqaBREB68H77QKCrKP1,Dubdogz,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
3239OdTeQMBphegyNvF8F3,Pour the Milk,69,172285,"['2WuXRwEjXIjW5uVZOSxqYS', '5FzFuIi6RVngFoIwTdawDd']","['Robbie Doherty', 'Keees.']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
46rZgRYU1H5Xnv0n75OGis,Deep Down Low,66,190476,0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
6T9cSQMRmd1sJC6UJLYywZ,Chance To Dance,56,189798,29c2vtSHCC1QvGh29zEfpy,Kim Kaey,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
1vV4T6tvTn4FIrwdvom3rf,Like This,59,163854,2zmc5GOSrIaronLdKaqluH,Subshock & Evangelos,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
3c7P6aEGW93f44hyXa85Nt,Downstairs (feat. Jaquell),57,189523,"['4FCzCS0KEgb0rgySWINItO', '1VMWb2Dj2XqtR3xsArTlUh']","['CID', 'Jaquell']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
1s37NcntsTnvtgxoYMOq2n,Warm Disco,50,246967,"['44T94QQEc60Jf7kqGY6Rip', '3ky8xBRraNNzxzXEw6Ga0c']","['Lee Foss', 'Anabel Englund']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
09JBbmL7Pmm1Zsus7BXHBG,Thong Song,60,171787,0tytC9SBvhGJFUA0MPHucY,Buzz Low,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
1gRQxbfL4ULWyTosgXSbWT,You Little Beauty,70,206587,1VJ0briNOlXRtJUAzoUJdt,FISHER,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
6lEAYlnuzxr0HHzdzXjBmx,#BringBackTheGroove,58,149067,"['1UmLUPNgy8HS6oI05zdGjD', '2wghI3P3W8vxgsb0le3Fgk']","['Norman Doray', 'Bottai']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
76AMW7PQUbQZucnM2NHZO5,Moving Blind,50,192983,"['39B7ChWwrWDs7zXlsu3MoP', '205i7E8fNVfojowcQSfK9m']","['Sonny Fodera', 'Dom Dolla']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
7lWs5MulBdRI3ZAxChj5Pt,Right Time,61,170490,"['4csQIMQm6vI2A2SCVDuM2z', '1VBflYyxBhnDc9uVib98rw']","['Hayden James', 'Icona Pop']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
5dAx9ejt8kONoGH61SIjhC,Tonight,57,198000,"['3h11MHQeCrcsUgRRijI1zL', '1OIiJfaxjDFfRRZG061t3w', '659qXyHaiMTKxFjBMMDpo8']","['Mark Knight', 'Chenai', 'Mr. V']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
1CRy08G60mS5jvhB27xMpS,Juliet & Romeo,70,204514,"['1bj5GrcLom5gZFF5t949Xl', '7mDU6nMUJnOSY2Hkjz5oqM']","['Martin Solveig', 'Roy Woods']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
0dj5O3Nc6ONKWNd8mErvND,Rain On Me - Purple Disco Machine Remix - Edit,64,238048,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR', '2WBJQGf1bT1kxuoqziH5g4']","['Lady Gaga', 'Ariana Grande', 'Purple Disco Machine']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
17fPLuA4TttWwfNcf833J1,Real Love x Sunchyme (feat. Jess Glynne) [VIP Mash-up],64,219052,"['6MDME20pz9RveH9rEXvrOM', '3Eo78i1MPfle0XVjMvia8A', '4ScCswdRlyA23odg9thgIO']","['Clean Bandit', 'Dario G', 'Jess Glynne']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,69,207619,"['20gsENnposVs2I4rQ5kvrf', '3SYnDj7btg9gFY7ps8m5d5', '3PlRvQnVE3XAbtHUNc4nic']","['Sam Feldt', 'RANI', 'GATTÜSO']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
