track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6KpGyJIyA75C0XyAkIcpZn,Moving [edit],05KDKIpxshxrB9BMewaCBW,Love Regenerator,1SoFbdEmEiFgpstKwJ8Iyh,193132,2020-04-03,63,0.645,0.96,4,-6.497,1,0.0399,0.0773,0.00641,0.594,0.637,127.999,6KpGyJIyA75C0XyAkIcpZn,6KpGyJIyA75C0XyAkIcpZn
1MOGJQsVeaRcXY6heJz5UZ,Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit,263Gr9lGWR6ScnRGjxa3Ad,DR. KUCHO!,5lRUvxwXDbnzFQIpxgpp6x,157466,2005,56,0.708,0.904,6,-4.9,1,0.0408,0.0863,0.000179,0.178,0.75,125.002,1MOGJQsVeaRcXY6heJz5UZ,1MOGJQsVeaRcXY6heJz5UZ
4t8ilMPQ7E7S6pB4i4Kf2I,Techno Prank,4cdyqaBREB68H77QKCrKP1,Dubdogz,3Z2HRuveZpq2065RwsIwuI,203406,2019-06-07,71,0.741,0.807,2,-6.562,1,0.0451,0.0563,0.747,0.351,0.118,124.06,4t8ilMPQ7E7S6pB4i4Kf2I,4t8ilMPQ7E7S6pB4i4Kf2I
3239OdTeQMBphegyNvF8F3,Pour the Milk,2WuXRwEjXIjW5uVZOSxqYS,Robbie Doherty,1RN9XFMVqqw4BD5dgLigpP,172285,2019-11-08,69,0.928,0.681,9,-8.554,1,0.0728,0.026,0.00373,0.0491,0.878,126.988,3239OdTeQMBphegyNvF8F3,3239OdTeQMBphegyNvF8F3
46rZgRYU1H5Xnv0n75OGis,Deep Down Low,0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,67bF4s11NHmoi7cnwJcEMM,190476,2015-07-10,66,0.794,0.896,5,-1.514,0,0.0677,0.00371,0.615,0.0876,0.5,125.999,46rZgRYU1H5Xnv0n75OGis,46rZgRYU1H5Xnv0n75OGis
6T9cSQMRmd1sJC6UJLYywZ,Chance To Dance,29c2vtSHCC1QvGh29zEfpy,Kim Kaey,1QCVx1swTG0R5K2RpQY0oN,189798,2020-06-01,56,0.774,0.911,11,-5.377,0,0.0849,0.0381,0.0136,0.122,0.477,124.012,6T9cSQMRmd1sJC6UJLYywZ,6T9cSQMRmd1sJC6UJLYywZ
1vV4T6tvTn4FIrwdvom3rf,Like This,2zmc5GOSrIaronLdKaqluH,Subshock & Evangelos,6ags5DWWEfEkqgozlPGQVY,163854,2020-07-17,60,0.816,0.917,11,-3.274,0,0.147,0.00237,0.0225,0.0796,0.497,126.05,1vV4T6tvTn4FIrwdvom3rf,1vV4T6tvTn4FIrwdvom3rf
3c7P6aEGW93f44hyXa85Nt,Downstairs (feat. Jaquell),4FCzCS0KEgb0rgySWINItO,CID,5u6boayFdPHVtXJQxH2ox8,189523,2020-02-07,57,0.748,0.97,1,-2.849,0,0.0463,0.00224,0.25,0.314,0.756,125.99,3c7P6aEGW93f44hyXa85Nt,3c7P6aEGW93f44hyXa85Nt
1s37NcntsTnvtgxoYMOq2n,Warm Disco,44T94QQEc60Jf7kqGY6Rip,Lee Foss,5GKhB4gABGpsXSBXYnvNFv,246967,2020-05-22,50,0.729,0.939,8,-4.811,0,0.0417,0.0101,0.00434,0.108,0.747,125.008,1s37NcntsTnvtgxoYMOq2n,1s37NcntsTnvtgxoYMOq2n
09JBbmL7Pmm1Zsus7BXHBG,Thong Song,0tytC9SBvhGJFUA0MPHucY,Buzz Low,1ZabiqZwNMlcyO7q2kVFLs,171787,2020-03-13,60,0.898,0.952,9,-5.337,1,0.188,0.0334,0.000555,0.296,0.959,123.988,09JBbmL7Pmm1Zsus7BXHBG,09JBbmL7Pmm1Zsus7BXHBG
1gRQxbfL4ULWyTosgXSbWT,You Little Beauty,1VJ0briNOlXRtJUAzoUJdt,FISHER,1voOnpa4pILlDPVsrIFl8b,206587,2019-05-10,70,0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,1gRQxbfL4ULWyTosgXSbWT,1gRQxbfL4ULWyTosgXSbWT
6lEAYlnuzxr0HHzdzXjBmx,#BringBackTheGroove,1UmLUPNgy8HS6oI05zdGjD,Norman Doray,22GOYeX5NPUJyIyrfcO0Md,149067,2015-11-02,58,0.606,0.945,1,-2.567,1,0.0907,0.000639,0.000774,0.0816,0.494,125.987,6lEAYlnuzxr0HHzdzXjBmx,6lEAYlnuzxr0HHzdzXjBmx
76AMW7PQUbQZucnM2NHZO5,Moving Blind,39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,21fNhyrZmsB8yTUVwHStTv,192983,2020-06-26,50,0.909,0.877,2,-6.683,1,0.117,0.0174,0.000466,0.0761,0.363,121.998,76AMW7PQUbQZucnM2NHZO5,76AMW7PQUbQZucnM2NHZO5
7lWs5MulBdRI3ZAxChj5Pt,Right Time,4csQIMQm6vI2A2SCVDuM2z,Hayden James,2mgGJupEnu10K2ZWGCYfo0,170490,2020-04-29,61,0.529,0.871,9,-6.792,0,0.047,0.0475,0.00392,0.0948,0.234,123.959,7lWs5MulBdRI3ZAxChj5Pt,7lWs5MulBdRI3ZAxChj5Pt
5dAx9ejt8kONoGH61SIjhC,Tonight,3h11MHQeCrcsUgRRijI1zL,Mark Knight,2WcaRzbbYVQXurOdPmXkKT,198000,2020-07-17,57,0.627,0.932,4,-4.863,0,0.0602,0.0789,0.00138,0.0705,0.375,121.983,5dAx9ejt8kONoGH61SIjhC,5dAx9ejt8kONoGH61SIjhC
1CRy08G60mS5jvhB27xMpS,Juliet & Romeo,1bj5GrcLom5gZFF5t949Xl,Martin Solveig,4ndTH1x8j5zYaidYSO5MXh,204514,2019-12-06,70,0.712,0.664,11,-8.026,1,0.0345,0.0416,0.000104,0.0668,0.781,122.014,1CRy08G60mS5jvhB27xMpS,1CRy08G60mS5jvhB27xMpS
0dj5O3Nc6ONKWNd8mErvND,Rain On Me - Purple Disco Machine Remix - Edit,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,42hbqXgvZ1dI3gQ1ZDnHA5,238048,2020-07-17,64,0.764,0.772,1,-7.061,0,0.0739,0.00643,0.00661,0.125,0.902,123.016,0dj5O3Nc6ONKWNd8mErvND,0dj5O3Nc6ONKWNd8mErvND
17fPLuA4TttWwfNcf833J1,Real Love x Sunchyme (feat. Jess Glynne) [VIP Mash-up],6MDME20pz9RveH9rEXvrOM,Clean Bandit,47ZID0LqufsflsEdOtWk5H,219052,2020-07-31,64,0.598,0.833,2,-6.333,1,0.0497,0.0172,0.0,0.544,0.464,125.004,17fPLuA4TttWwfNcf833J1,17fPLuA4TttWwfNcf833J1
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,20gsENnposVs2I4rQ5kvrf,Sam Feldt,6703SRPsLkS4bPtMFFJes1,207619,2019-08-29,69,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,6b1RNvAcJjQH73eZO4BLAB,6b1RNvAcJjQH73eZO4BLAB
0JQGZ9tXOaXHnca75JDz3J,Grenade,4bXUaTjc7TQTvLqqCAlfYt,Jack Back,46b2MoeiTXOI7dhmcGZT51,301935,2018-12-07,58,0.699,0.805,0,-7.309,1,0.0771,0.0145,0.234,0.0425,0.322,124.011,0JQGZ9tXOaXHnca75JDz3J,0JQGZ9tXOaXHnca75JDz3J
25V0TNA8cZLVzLQpHa6rB1,Freaks,1VJ0briNOlXRtJUAzoUJdt,FISHER,5CvGaa7ehTBOhyxLDxRWb6,175255,2020-03-20,64,0.805,0.869,1,-4.344,1,0.0549,0.00219,0.799,0.122,0.786,124.014,25V0TNA8cZLVzLQpHa6rB1,25V0TNA8cZLVzLQpHa6rB1
0Quhzm1B1Z9I5S9RP6BgLh,Lucky,6n28c9qs9hNGriNa72b26u,PNAU,29hQOfDBBJ2kIVXy5nI0FX,205703,2020-05-20,62,0.585,0.956,0,-3.577,1,0.0564,0.0285,0.0,0.213,0.593,120.004,0Quhzm1B1Z9I5S9RP6BgLh,0Quhzm1B1Z9I5S9RP6BgLh
0fbXFYtHPpq5fVNRGjxZrC,Scrub The Ground (feat. DJ Funk),5Aw0IGM5JS3FuTgtRsDWGA,Chocolate Puma,1wwwzZ0LYiLOct5BdvNpRb,168937,2015-10-16,60,0.786,0.887,11,-3.886,0,0.0518,0.0263,0.812,0.338,0.682,126.982,0fbXFYtHPpq5fVNRGjxZrC,0fbXFYtHPpq5fVNRGjxZrC
5lXY6PTuWXOludKy4zDQwM,On My Mind,5fMUXHkw8R8eOP2RNVYEZX,Diplo,2JvNCktHSlDwB9PhNYfOEq,189268,2019-12-13,66,0.771,0.731,7,-6.574,1,0.0409,0.00165,0.633,0.217,0.635,123.026,5lXY6PTuWXOludKy4zDQwM,5lXY6PTuWXOludKy4zDQwM
2ZEq4HT450Ye9IFGPTl9qV,Lonely,6DgP9otnZw5z6daOntINxp,Joel Corry,3zxRCukRL1NQC4vo7ipUet,190955,2020-01-24,78,0.697,0.921,5,-4.283,1,0.0424,0.0946,1.9e-05,0.159,0.722,123.988,2ZEq4HT450Ye9IFGPTl9qV,2ZEq4HT450Ye9IFGPTl9qV
41hcstGzn592p7hyWMfOjv,So Hot - MK x Nightlapse Remix,3ky8xBRraNNzxzXEw6Ga0c,Anabel Englund,0w3CDtEsEhQtZzOCSeGrLL,225365,2019-07-19,61,0.642,0.909,0,-5.119,0,0.0282,0.00283,0.00057,0.0552,0.633,123.019,41hcstGzn592p7hyWMfOjv,41hcstGzn592p7hyWMfOjv
2tnVG71enUj33Ic2nFN6kZ,Ride It,4ofCBoyEiGSePFAG500xev,Regard,4zOhjJfe0dwqsNdDYk622E,157605,2019-07-26,87,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2tnVG71enUj33Ic2nFN6kZ,2tnVG71enUj33Ic2nFN6kZ
7tks4SpHKvcPiMb6cql9Er,Oxygen - Dario Rodriguez Remix,3XC57xz74X3xUi1hv4mge1,Winona Oak,1ZPuFcMFMPZS4Jr3NoXFeO,179500,2020-07-24,54,0.788,0.707,7,-4.878,1,0.13,0.0061,4.48e-05,0.139,0.31,126.026,7tks4SpHKvcPiMb6cql9Er,7tks4SpHKvcPiMb6cql9Er
1horDZRb64nwbtDXymIzLw,Nothing Really Matters,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,11w55rGZhuTqiEWGwb7psj,157477,2020-04-17,68,0.731,0.848,5,-4.254,0,0.0423,0.00495,1.81e-06,0.281,0.688,123.022,1horDZRb64nwbtDXymIzLw,1horDZRb64nwbtDXymIzLw
5TmFTHZp7HjBXjjsFvCY6h,Destination Calabria - Radio Edit,7vb7VLDqpLTlAy1ctTMR5d,Alex Gaudino,4sRexfGVnXMBJ1k5RW5WT8,223111,2007-02-19,71,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,5TmFTHZp7HjBXjjsFvCY6h,5TmFTHZp7HjBXjjsFvCY6h
0VdwHBLCTSdrTJFIjWOsEC,World Hold On (Radio Edit) [Vintage Culture & Dubdogz Remix],5YFS41yoX0YuFY39fq21oN,Bob Sinclar,0wohygLfvrO6whUKOINTqm,172073,2018-05-04,64,0.604,0.894,11,-3.796,1,0.199,0.0829,0.000564,0.201,0.669,122.884,0VdwHBLCTSdrTJFIjWOsEC,0VdwHBLCTSdrTJFIjWOsEC
7nionv2ijjqUlg9m5iWPTc,Feel My Needs,0FBRY66KVaAiddGVefikLB,WEISS,1DhXzsPrJjFpwOKRPV2Hpu,208524,2018-05-04,65,0.789,0.692,3,-5.966,0,0.0475,0.001,0.861,0.0505,0.774,121.998,7nionv2ijjqUlg9m5iWPTc,7nionv2ijjqUlg9m5iWPTc
6ho0GyrWZN3mhi9zVRW7xi,Losing It,1VJ0briNOlXRtJUAzoUJdt,FISHER,143cxYCazoiNfviHRmxkdv,248035,2018-07-13,76,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,6ho0GyrWZN3mhi9zVRW7xi,6ho0GyrWZN3mhi9zVRW7xi
5t8ya2Qx7Xc6bG53piXMYY,Catania,0oNBRfSsZBHcgFGcWaVr0R,Södermalm,3PO7P1e9CiJlzKBCqL9pg3,220645,2020-06-12,54,0.784,0.951,7,-7.92,1,0.052,0.00403,0.852,0.0324,0.808,123.99,5t8ya2Qx7Xc6bG53piXMYY,5t8ya2Qx7Xc6bG53piXMYY
2qUHC0dFrZ0Pj8LrKTYcii,OMG (feat. Moosh & Twist),1tBU8jUEdVR3mqSsAqEGfD,Tommy Trash,0tqY6pTbosEy5jXv8tT75D,153607,2016-11-18,0,0.793,0.954,5,-2.765,0,0.157,0.0238,5.23e-05,0.0448,0.68,124.991,2qUHC0dFrZ0Pj8LrKTYcii,2qUHC0dFrZ0Pj8LrKTYcii
1ZhpOYEE0nGcn0k7Ai7DK1,Dance and Chant,4KkHjCe8ouh8C2P9LPoD4F,Yolanda Be Cool,1kyWzwoj5zkIK71DCoHXIq,189677,2019-01-25,40,0.787,0.863,9,-4.173,1,0.0492,0.000947,0.617,0.103,0.821,124.036,1ZhpOYEE0nGcn0k7Ai7DK1,1ZhpOYEE0nGcn0k7Ai7DK1
5AVDsyUbuVpVTflSxAB73C,Oh Yes (Rockin' With The Best),53cQZtWDwDJwVCNZlfJ6Qk,Laidback Luke,0RDGSiZrB2IwG0pYBrhA9k,159162,2019-04-26,58,0.79,0.949,2,-1.89,0,0.103,0.133,0.0,0.339,0.602,124.088,5AVDsyUbuVpVTflSxAB73C,5AVDsyUbuVpVTflSxAB73C
4ekDggjElGJX9kNSOtnbVf,Infinity - Dubdogz & Bhaskar Edit,4cdyqaBREB68H77QKCrKP1,Dubdogz,2NWFwa4mXzXgFHMc0VGiQG,196000,2020-01-31,74,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,4ekDggjElGJX9kNSOtnbVf,4ekDggjElGJX9kNSOtnbVf
2TNvuWY10fBok9OY8asAQZ,Where U Iz,4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,5MolqLfC4O6Igdnp38Qjxa,240205,2017-03-03,45,0.873,0.922,1,-5.16,1,0.116,0.0833,0.0,0.0951,0.939,124.034,2TNvuWY10fBok9OY8asAQZ,2TNvuWY10fBok9OY8asAQZ
0uv1qAL1ID4BBf1aOEriwC,Front 2 Back,1eOOXqRHILTxqrEUAYyQU0,Bart B More,62fk8n32N8DCPPUYS6bzP1,155794,2018-06-08,49,0.782,0.803,4,-5.741,0,0.0613,0.14,0.22,0.163,0.411,126.012,0uv1qAL1ID4BBf1aOEriwC,0uv1qAL1ID4BBf1aOEriwC
0F5DJA5gUkR9YSPIP1lCl2,ACIIID - Kryder x Benny Benassi Remix,4xgFgBZ7CRtgtHcziClOwQ,Moguai,4Cy1gWblAiWEPd2RZecXlZ,172913,2019-11-18,59,0.593,0.96,10,-4.896,0,0.07,0.0431,0.766,0.245,0.448,126.998,0F5DJA5gUkR9YSPIP1lCl2,0F5DJA5gUkR9YSPIP1lCl2
19eIZmuXlBmLTha1lPHef7,Alors On Danse - DubDogz Remix,5j4HeCoUlzhfWtjAfM1acR,Stromae,1hOCJ4eNjtYKIH9ZmNGc8p,168576,2019-05-03,69,0.789,0.752,1,-4.274,0,0.164,0.027,2.69e-05,0.613,0.739,122.98,19eIZmuXlBmLTha1lPHef7,19eIZmuXlBmLTha1lPHef7
0VPTpC1ZLQRoz1n06mksVZ,No!,4FCzCS0KEgb0rgySWINItO,CID,5AUMsJnsMq1QtoHnCu9JQ6,191904,2016-02-01,0,0.726,0.959,2,-4.421,0,0.0717,0.0121,0.0886,0.0437,0.691,126.019,0VPTpC1ZLQRoz1n06mksVZ,0VPTpC1ZLQRoz1n06mksVZ
5fYN8kPYyAWWJUBX57vmXb,Details (feat. Boy Matthews),5nki7yRhxgM509M5ADlN1p,Oliver Heldens,38Q9J9v3NfWSMgGk2u0RpW,156912,2020-04-17,69,0.751,0.714,2,-6.502,0,0.0379,0.0259,0.000504,0.0508,0.529,120.007,5fYN8kPYyAWWJUBX57vmXb,5fYN8kPYyAWWJUBX57vmXb
15CfptpFnwDrhkWt8JPyfN,Promise,6n5ccknvteaKfN4WA2qf3C,Illyus & Barrientos,12kG7Na759dGzedni8OiQa,158500,2020-01-10,54,0.642,0.904,1,-5.127,0,0.0501,0.000449,0.818,0.0141,0.69,123.987,15CfptpFnwDrhkWt8JPyfN,15CfptpFnwDrhkWt8JPyfN
3ANKZ1tJoxuEE0d8Irncl3,Shingaling,2OFEXARoSZyZLR6S0oV2R7,Tom Swoon,3aGEPxNWMCyHfKkbu4dZAL,153600,2017-06-19,0,0.665,0.763,3,-5.868,1,0.0319,0.00465,0.00215,0.246,0.381,125.058,3ANKZ1tJoxuEE0d8Irncl3,3ANKZ1tJoxuEE0d8Irncl3
5kHrTMIFqmZkuCkovsxRUs,Deep Inside 2020,45lcbTsX07JWzmTIjcdyBz,Matroda,7qq1UnrFglFTE9w2cUO5pU,186542,2020-06-12,56,0.8,0.902,1,-3.518,0,0.0648,0.00377,0.265,0.123,0.23,124.002,5kHrTMIFqmZkuCkovsxRUs,5kHrTMIFqmZkuCkovsxRUs
19VVmenPRBEdWwg0Vp2lKh,Gangster Trippin - Sultan + Shepard Remix,4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,4PfRA0iwTmd2yRmVvAaLGy,191160,2018-09-14,57,0.679,0.985,7,-3.357,1,0.0617,0.102,0.0107,0.33,0.462,124.953,19VVmenPRBEdWwg0Vp2lKh,19VVmenPRBEdWwg0Vp2lKh
5u7uoKVvcijnS1nNwpx83Y,Don't Call Me Baby - Mousse T. Remix,6otgz5gkB40UnWFwTy0VDh,Madison Avenue,2SPXQM5IrMX6m7K3UE7Nd5,386000,2019-11-15,52,0.786,0.894,10,-7.683,0,0.055,0.171,0.198,0.17,0.53,124.994,5u7uoKVvcijnS1nNwpx83Y,5u7uoKVvcijnS1nNwpx83Y
29VrUh1OBgsswMQp2FkQqF,Body Beat,4bXUaTjc7TQTvLqqCAlfYt,Jack Back,40DNPC51pp3iBXINi6n40U,200634,2020-02-07,51,0.631,0.975,1,-4.921,1,0.0976,0.013,0.38,0.156,0.698,124.973,29VrUh1OBgsswMQp2FkQqF,29VrUh1OBgsswMQp2FkQqF
1ZPfoFfsUG5cQWdpnPbA6U,Rump,3RuyFkjMNXXXabK3bH5DQt,Pickle,20cKjoUDRbRipMWwOSYc1t,217258,2020-05-22,55,0.742,0.963,5,-4.062,0,0.063,0.00134,0.683,0.155,0.464,123.999,1ZPfoFfsUG5cQWdpnPbA6U,1ZPfoFfsUG5cQWdpnPbA6U
5LRxdeykOfvKb1aWGrrGyo,Creep - mint Singles,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,31LEjqDdP0TyZgiuse84cf,161190,2020-03-20,70,0.766,0.611,11,-9.251,1,0.0542,0.112,0.000606,0.187,0.128,126.0,5LRxdeykOfvKb1aWGrrGyo,5LRxdeykOfvKb1aWGrrGyo
77BDJDKKWm11KXQh0Sv4Jf,Dare Me,4j5KBTO4tk7up54ZirNGvK,NERVO,4mO6PozqdENP4fB9g8lxZv,182500,2020-01-03,61,0.817,0.776,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03,77BDJDKKWm11KXQh0Sv4Jf,77BDJDKKWm11KXQh0Sv4Jf
72KFD0CLxKVBtzN0nq42Fm,"Best Friend (feat. NERVO, The Knocks & ALISA UENO) - Remix",586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,5h6GAmjRgciTkhg30uFgva,205099,2018-02-16,51,0.695,0.914,6,-6.611,0,0.0534,0.0107,0.00212,0.332,0.289,120.995,72KFD0CLxKVBtzN0nq42Fm,72KFD0CLxKVBtzN0nq42Fm
