playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,234,spotify,Spotify,4498272
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3251000
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,50,spotify,Spotify,3203977
37i9dQZF1DX6aTaZa0K6VA,Pop Up,80,spotify,Spotify,2998960
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,spotify,Spotify,2695665
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,60,spotify,Spotify,2072484
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,86,spotify,Spotify,1997189
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,70,spotify,Spotify,1991778
37i9dQZF1DX1QnNyJOBQBv,Latin Pop Hits,50,spotify,Spotify,1768523
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,1751343
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,100,spotify,Spotify,1483431
37i9dQZF1DX0A8zVl7p82B,Christmas Pop,111,spotify,Spotify,1423077
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,84,spotify,Spotify,1320875
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,100,spotify,Spotify,1258129
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,100,spotify,Spotify,1190889
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1145268
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,60,spotify,Spotify,1057171
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,914870
37i9dQZF1DX9ASuQophyb3,Türkçe Pop,50,spotify,Spotify,871064
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,815852
37i9dQZF1DX92MLsP3K1fI,Top Pop,123,spotify,Spotify,805626
37i9dQZF1DX3sCT1ItXgNd,Pop con Ñ,60,spotify,Spotify,792791
37i9dQZF1DWXJyjYpHunCf,Folk Pop,110,spotify,Spotify,686314
37i9dQZF1DWSVtp02hITpN,The Pop List,82,spotify,Spotify,677283
37i9dQZF1DXcxvFzl58uP7,Bedroom Pop,100,spotify,Spotify,651433
37i9dQZF1DXaPCIWxzZwR1,Pop Sauce,98,spotify,Spotify,634337
37i9dQZF1DWWqNV5cS50j6,Anti Pop,170,spotify,Spotify,562832
37i9dQZF1DXasneILDRM7B,Pure Pop Punk,50,spotify,Spotify,558929
37i9dQZF1DWYVURwQHUqnN,Pop Urbaine,50,spotify,Spotify,555255
37i9dQZF1DX1ngEVM0lKrb,Pop Internacional,100,spotify,Spotify,555073
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,85,spotify,Spotify,478055
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,80,spotify,Spotify,475563
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,50,spotify,Spotify,472890
37i9dQZF1DWTPDzakLfYZr,Popetón,60,spotify,Spotify,466073
37i9dQZF1DXarRysLJmuju,Pop All Day,80,spotify,Spotify,457608
37i9dQZF1DWYOiy3rOFsDS,Boleros Pop,100,spotify,Spotify,430059
37i9dQZF1DX4v0Y84QklHD,Classic Pop Picks,50,spotify,Spotify,417264
37i9dQZF1DX07Bg0Q5GozA,OFF POP,75,spotify,Spotify,414829
37i9dQZF1DWW6EwN6CPxGO,Funk Pop,70,spotify,Spotify,411433
37i9dQZF1DX1ewVhAJ17m4,Pop Punk's Not Dead,100,spotify,Spotify,394668
37i9dQZF1DX1WhyP6stXXl,Pop Brandneu,65,spotify,Spotify,383517
5oxZIYU1L9N1CczN0C4JkM,Instrumental Pop Covers,523,x40fn74nzd798rvmpy6o5vue7,instrumental pop covers,380712
37i9dQZF1DX9L93gfg5cPa,Mega Pop Mix,100,spotify,Spotify,371271
37i9dQZF1DWYp3yzk1civi,Mellow Pop,50,spotify,Spotify,370210
37i9dQZF1DX3PIAZMcbo2T,Pop Warmup 130 BPM,48,spotify,Spotify,337927
37i9dQZF1DWSoyxGghlqv5,Pop Study,60,spotify,Spotify,328710
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,80,spotify,Spotify,324005
37i9dQZF1DX5cc7vmfioLh,Yabancı Pop,80,spotify,Spotify,299495
37i9dQZF1DX8mWv7JDZ0Ht,Pop Leve,80,spotify,Spotify,286262
37i9dQZF1DWTyTiBbDrmml,Pop Clásico,85,spotify,Spotify,262383
37i9dQZF1DXcTieYAg7jq1,Retro Pop,148,spotify,Spotify,258235
37i9dQZF1DX1IeqVkK7Ebc,Chilled Pop Hits,80,spotify,Spotify,242890
37i9dQZF1DWV7FWPDK0Dg1,Flamenco Pop,60,spotify,Spotify,236699
37i9dQZF1DXboDblu798Pk,Get Popped!,78,spotify,Spotify,233346
37i9dQZF1DX7eEfahN5cwF,Pop Soul Classics,38,spotify,Spotify,214316
37i9dQZF1DWSpF87bP6JSF,Pop Latino,50,spotify,Spotify,211562
37i9dQZF1DX8ttEdg9VJHO,Feelgood Pop,50,spotify,Spotify,194293
37i9dQZF1DWUSKuTscFFGY,Nouveautés Pop,60,spotify,Spotify,187562
