track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,04G0YylSjvDQZrjOfE5jA5,242186,2008-05-12,82,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,1EzrEOXmMH3G43AXT1y7pA,1EzrEOXmMH3G43AXT1y7pA
2b8fOow8UzyDFAE27YhOZM,Memories,04gDigrS5kc9YWfZHwBETP,Maroon 5,3nR9B40hYLKLcR0Eph3Goc,189486,2019-09-20,89,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,0NVQ9k3wKmuK6T02lLMl6y,182160,2018-11-08,81,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,2TIlqbIneP0ZY1O0EzYLlc,2TIlqbIneP0ZY1O0EzYLlc
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,263400,2017-03-03,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v
6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,3edjzMAVB9RYRd4UcZBchx,217212,2018-10-05,78,0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,6QfS2wq5sSC1xAJCQsTSlj,6QfS2wq5sSC1xAJCQsTSlj
0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,2wY79sveU1sp5g7SokKOiI,Sam Smith,2Jg7JZ0ZXOGje1bkq7CVgK,239316,2014-01-01,0,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,0fioLzGM8ngbD1w6fMmm45,0fioLzGM8ngbD1w6fMmm45
0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,2FXC3k01G6Gw61bmprjgqS,Hozier,04E0aLUdCHnhnnYrDDvcHq,241693,2014-10-07,68,0.575,0.664,4,-5.303,0,0.0481,0.637,0.0,0.116,0.437,129.07,0aOluBqXYd0rFSCsgDyAWX,0aOluBqXYd0rFSCsgDyAWX
1NrJYpdAi7uosDRPmSYrsG,Apologize,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,2KSpGeDoNjqCKg6HL8LAyI,208106,2007-01-01,70,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,1NrJYpdAi7uosDRPmSYrsG,1NrJYpdAi7uosDRPmSYrsG
6IwKcFdiRQZOWeYNhUiWIv,No One,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,6KlxyxhXEDo1LdheFulN7h,253813,2007-11-09,80,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042,6IwKcFdiRQZOWeYNhUiWIv,6IwKcFdiRQZOWeYNhUiWIv
7DFNE7NO0raLIUbgzY2rzm,Let Her Go,0gadJ2b9A4SKsB1RFkBb66,Passenger,2mylGx7w2Q3yhUyN8iEWOF,252866,2012-11-05,77,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,7DFNE7NO0raLIUbgzY2rzm,7DFNE7NO0raLIUbgzY2rzm
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore (feat. Selena Gomez),6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,3kndSWeE2IYOrZEToZrHEV,217706,2016-01-29,69,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,37FXw5QGFN7uwwsLy8uAc0,37FXw5QGFN7uwwsLy8uAc0
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),1KCSPY1glIKqW2TotWuXOR,P!nk,2Q9oTK48eb85waX1fFJsvj,242733,2012-09-18,81,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,1mKXFLRA179hdOWQBwUk9e,1mKXFLRA179hdOWQBwUk9e
1koJk8rrMBlhDZ8MNiLzH9,Always Remember Us This Way,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,3a3AKiS0o5qVn25cloDYII,210200,2018-10-05,61,0.553,0.506,0,-5.967,1,0.0411,0.317,0.0,0.763,0.306,130.027,1koJk8rrMBlhDZ8MNiLzH9,1koJk8rrMBlhDZ8MNiLzH9
3U4isOIWM3VvDubwSI3y7a,All of Me,5y2Xq6xcjJb2jVM54GHK3t,John Legend,4OTAx9un4e6NfoHuVRiOrC,269560,2013-08-30,85,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,3U4isOIWM3VvDubwSI3y7a
48fHzAJFfNCPTysrZQQkei,See You Again - One World: Together At Home,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,2VcZJySG0Skmua8JkfXGcz,196362,2020-04-19,36,0.355,0.0784,8,-18.375,1,0.0494,0.754,0.0,0.0698,0.587,78.923,48fHzAJFfNCPTysrZQQkei,48fHzAJFfNCPTysrZQQkei
38q2WeIu6OrFaUxY7cxulw,Rise Up - One World: Together At Home,1c4rxrxy8eDLvMVL1DTiBe,Andra Day,2VcZJySG0Skmua8JkfXGcz,217183,2020-04-19,34,0.49,0.041,11,-18.909,1,0.041,0.818,1.27e-06,0.109,0.208,118.117,38q2WeIu6OrFaUxY7cxulw,38q2WeIu6OrFaUxY7cxulw
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,4ow6xJwn49gpWz7iHpOzWY,167693,2019-10-04,85,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,2wrJq5XKLnmhRXHIAf9xBa
2JqnpexlO9dmvjUMCaLCLJ,Love Someone,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,0JcMyAnJRTisEjYf9xEwkf,205463,2018-09-07,74,0.55,0.415,9,-6.557,0,0.052,0.161,0.0,0.108,0.274,172.065,2JqnpexlO9dmvjUMCaLCLJ,2JqnpexlO9dmvjUMCaLCLJ
78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,7yBl4uFyJzH48Vy6tPieXL,188238,2015-01-24,79,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,78TTtXnFQPzwqlbtbwqN0y,78TTtXnFQPzwqlbtbwqN0y
2JtSnwYNKOphDrshYL8n4p,I'm Like A Bird - Recorded at Spotify Studios NYC,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,4e1KPKRbxwbrHnysHvve8j,219960,2019-04-24,69,0.524,0.639,10,-7.18,1,0.103,0.238,0.0,0.0598,0.582,87.998,2JtSnwYNKOphDrshYL8n4p,2JtSnwYNKOphDrshYL8n4p
