track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",6MPCFvOQv5cIGfw3jODMF0,Internet Money,2vGU0DOcfsDee0euvhl1iZ,195428,2020-08-28,84,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,7hxHWCCAIIxFLCzvDgnQHX,7hxHWCCAIIxFLCzvDgnQHX
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),3TVXtAsR1Inumwj472S9r4,Drake,0qGdc7fNq9RNIPEzZufa43,261492,2020-08-14,95,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,2SAqBLGA283SUiwJ3xOUVI,2SAqBLGA283SUiwJ3xOUVI
3v84EI4rMdsqJ95MxwIjQa,Sleepy Hollow,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,6okrLJSnDYORkEkFRnvj9D,101353,2020-10-07,60,0.735,0.662,1,-7.862,1,0.05,0.0104,0.0,0.153,0.124,87.999,3v84EI4rMdsqJ95MxwIjQa,3v84EI4rMdsqJ95MxwIjQa
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),1URnnhqYAYcrqrcwql10ft,21 Savage,6wTyGUWGCilBFZ837k5aRi,193838,2020-10-02,84,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,4Q34FP1AT7GEl9oLgNtiWj,4Q34FP1AT7GEl9oLgNtiWj
7v96VvFLS0wSYT8kewNLRy,24 (feat. Lil Baby),3Rx4PJ7SP6unkOk5elPUK7,Money Man,5kaQQ0Z6RNMSqCRtM1lGn5,182857,2020-08-14,84,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,7v96VvFLS0wSYT8kewNLRy,7v96VvFLS0wSYT8kewNLRy
4jVBIpuOiMj1crqd8LoCrJ,FRANCHISE (feat. Young Thug & M.I.A.),0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,4Bp7LKA5Afo1PRoXuQe8qZ,202794,2020-09-25,87,0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,4jVBIpuOiMj1crqd8LoCrJ,4jVBIpuOiMj1crqd8LoCrJ
3D9G7MPDU48r91YRCYeVRI,NFL (feat. Gudda Gudda & HoodyBaby),55Aa2cqylxrFIXC767Z865,Lil Wayne,7DBAcWoFguEGBzypRXbMyA,210327,2020-10-05,42,0.784,0.596,11,-5.808,0,0.311,0.027,0.0,0.465,0.361,129.949,3D9G7MPDU48r91YRCYeVRI,3D9G7MPDU48r91YRCYeVRI
0qJeyYAgv6UpvewUxRXAhb,Rags2Riches 2 (feat. Lil Baby),45TgXXqMDdF8BkjA83OM7z,Rod Wave,6DxSrvqVwXO3SmFDSGuLAi,235987,2020-08-07,83,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,0qJeyYAgv6UpvewUxRXAhb,0qJeyYAgv6UpvewUxRXAhb
3GZd1aDsgKL71Kt3VIp0hc,Narrow Road (feat. Lil Baby),0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,0F4bzfGxyxDT5xdKUAUfhN,240297,2020-07-30,80,0.614,0.553,7,-8.225,1,0.169,0.0306,0.0,0.203,0.161,159.999,3GZd1aDsgKL71Kt3VIp0hc,3GZd1aDsgKL71Kt3VIp0hc
2rFsFjq0D9JAmc0APpCO6P,Blastoff (feat. Juice Wrld & Trippie Redd),6MPCFvOQv5cIGfw3jODMF0,Internet Money,6U5j597olXfdjtd6wHd3Cu,174729,2020-08-29,83,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,2rFsFjq0D9JAmc0APpCO6P,2rFsFjq0D9JAmc0APpCO6P
