track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7ndTONDDRFGiPnnhOzOXxq,La Nota,39,216107,"['0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W']","['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4uoR6qeWeuL4Qeu2qJzkuG,Hawái,95,200197,1r4hJ1h58CWwUQe3MxPuau,Maluma,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4HYDUMY0xSpeBr0AMY9cUz,La Curiosidad,93,219048,"['2cPqdH7XMvwaBJEVjheH8g', '2ydZrTy8U3kOMOzx20s3dg', '7iK8PXO48WeuP03g8YR51W']","['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7x4ASXYEKfQBCewcZhK776,"Ay, DiOs Mío!",93,189653,790FomKkXshlbRYZFtlgla,KAROL G,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,78,213313,"['3E6xrwgnVfYCrCs0ePERDz', '7iK8PXO48WeuP03g8YR51W', '0n6sKrG0xKAf8xmdqeNGke']","['Wisin', 'Myke Towers', 'Los Legendarios']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3kml9ZdpT7UYk1ugkjqOzt,Don Don,85,275893,"['4VMYDCV2IEDYJArk749S6m', '2R21vXR83lH98kGeO99Y66', '1WMwuNKzEFtU6pPkdtryYS']","['Daddy Yankee', 'Anuel AA', 'Kendo Kaponi']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,88,230693,"['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5', '37230BxxYs9ksS7OkZw3IU']","['Ozuna', 'J Balvin', 'Chencho Corleone']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
15OjBeqNX3bShsGYQbteRv,La Tóxica,89,180520,329e4yvIujISKGKz1BZZbO,Farruko,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1UHcnP31sAKOJFrEnyRNUz,Amantes y Amigos,71,182626,"['4SsVbpTthjScTS7U2hmr1X', '77ziqFxp5gaInVrF2lj4ht']","['Arcangel', 'Sech']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3GtnId3Cm1Xa6joCj08nzW,Jeans,87,185840,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3ThrfRAmijYU098H9q9tAs,Enchule,79,185718,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1mohfLaTJtB2RplHLQVM70,La Jeepeta - Remix,89,345240,"['5hdhHgpxyniooUiQVaPxQ0', '2R21vXR83lH98kGeO99Y66', '7iK8PXO48WeuP03g8YR51W', '1GKIlPFdcewHtpDVCQ8zmJ', '3Wb38LDP3N4tkobValgE9D']","['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
11EnQRgRMJwMAesfkB5pnu,Se Te Nota (with Guaynaa),87,155825,"['6i3DxIlAqnDkwELLw4aVrx', '0BqURncJM5B1BBu7UM51eq']","['Lele Pons', 'Guaynaa']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6yVkakCN460KOVol9ZazjH,Reggaetonera,84,212312,2R21vXR83lH98kGeO99Y66,Anuel AA,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,92,247308,"['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']","['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2BxzmBb2uqwnpyVuJqIIV9,Victoria,75,223488,"['47MpMsUfWtgyIIBEFOr4FE', '7a0XAaPaK2aDSqa8p3QnC7']","['Lunay', 'Beéle']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4vjVdfdBHnUiaFCcUa3gfn,Tussi,76,189466,"['4SsVbpTthjScTS7U2hmr1X', '14zUHaJZo1mnYtn6IBRaRP', '5XJDexmWFLWOkjOEjOVX3e', '3EiLUeyEcA6fbRPSHkG5kb']","['Arcangel', 'Justin Quiles', 'Eladio Carrion', 'De La Ghetto']",4,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2CIJusVSWZKH4XIXxipD0I,Sube La Music,73,177826,"['3EiLUeyEcA6fbRPSHkG5kb', '1SupJlEpv7RS2tPNRaHViT']","['De La Ghetto', 'Nicky Jam']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5iw28wvyHgj4ppOu5AdcEU,Anaranjado,82,212010,"['4IMAo2UQchVFyPH24PAjUs', '1vyhD5VmyZ7KMfW5gqLgo5']","['Jowell & Randy', 'J Balvin']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
0j1VxrPkMyFGvz0jZzxUoZ,Dembow 2020,83,168051,"['0eHQ9o50hj6ZDNBt6Ys1sD', '1mcTU81TzQhprhouKaTkpq']","['Yandel', 'Rauw Alejandro']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3YLbntjcsRoButdoVta3rq,Prendemos,73,217733,"['77iZVjeYoYSl5P0K9mIiUE', '0EFisYRi20PTADoJrifHrz', '47MpMsUfWtgyIIBEFOr4FE']","['Haze', 'Jhay Cortez', 'Lunay']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3gD4J3RUHy4OUuZ3qAiaiG,Caramelo,90,217546,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
23MEeQTkSmsDS6NjL8k6I8,Te Mueves,74,232421,"['21451j1KhjAiaYKflxBjr1', '1GDbiv3spRmZ1XdM1jQbT7']","['Zion & Lennox', 'Natti Natasha']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
74j34STf8L6uADnTN69ohv,El Efecto - Remix,82,289898,"['1mcTU81TzQhprhouKaTkpq', '37230BxxYs9ksS7OkZw3IU', '4QrBoWLm2WNlPdbFhmlaUZ', '6w9ToX5slZ4uIdmD17hJ3c', '1Ts9of7VPZElwPQnqnDSfW', '0KPX4Ucy9dk82uj4GpKesn']","['Rauw Alejandro', 'Chencho Corleone', 'KEVVO', 'Bryant Myers', 'Lyanno', 'Dalex']",6,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3mEuWQDngXevBTZLf48XDx,JAMAICA,71,224240,"['2LRoIwlKmHjgvigdNGBHNo', '77ziqFxp5gaInVrF2lj4ht']","['Feid', 'Sech']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
06s3QtMJVXw1AJX3UfvZG1,Hasta Que Dios Diga,87,246000,"['2R21vXR83lH98kGeO99Y66', '4q3ewBCX7sLwd24euuV69X']","['Anuel AA', 'Bad Bunny']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2btKz4s1XrMn5VHe7xZJpi,Que Mal Te Fue,78,212906,1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4RJz8NfIe09gpKMiRUWKhJ,Parce (feat. Justin Quiles),86,248345,"['1r4hJ1h58CWwUQe3MxPuau', '1pQWsZQehhS4wavwh7Fnxd', '14zUHaJZo1mnYtn6IBRaRP']","['Maluma', 'Lenny Tavárez', 'Justin Quiles']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7lUdbnz7wsv3C9zzf4WHl9,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",84,333800,"['2LRoIwlKmHjgvigdNGBHNo', '1vyhD5VmyZ7KMfW5gqLgo5', '1r4hJ1h58CWwUQe3MxPuau', '1SupJlEpv7RS2tPNRaHViT', '77ziqFxp5gaInVrF2lj4ht', '14zUHaJZo1mnYtn6IBRaRP']","['Feid', 'J Balvin', 'Maluma', 'Nicky Jam', 'Sech', 'Justin Quiles']",6,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3EHOIENLKLgQYiwB3tKLky,No Se Te Dió,71,258526,"['5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno', '4SsVbpTthjScTS7U2hmr1X', '3EiLUeyEcA6fbRPSHkG5kb']","['Nio Garcia', 'Casper Magico', 'Arcangel', 'De La Ghetto']",4,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7KKh0ujp8agIiCrkiJhf81,Jangueo,78,231745,"['2R21vXR83lH98kGeO99Y66', '3SUT1jjM5hzZj9TLfLZGIP']","['Anuel AA', 'Tego Calderon']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1naW83N44WMeZ0W719OC14,Estadia,68,215312,"['65jIUih0ZeTUJhSTRuYxpi', '1mcTU81TzQhprhouKaTkpq']","['Omy de Oro', 'Rauw Alejandro']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
0LXk0yWcGfACtMKX0igobq,La Presión,76,164818,"['1GAymyGBvB4gQy5Z5LZ1Wj', '0tmwSHipWxN12fsoLcFU3B']","['Lalo Ebratt', 'Manuel Turizo']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1L9UBn6F0iY4HZeeH4teDZ,Beso,76,203631,0eecdvMrqBftK0M1VKhaF4,CNCO,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1xFXjL0NUUXm4XnWGbqCMl,BAD DECISIONS,63,193293,7f02bxFbZIOVdSbYRNYvLT,Jerry Di,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5DoLhdU27owX1NMrKLUbUl,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",87,260545,"['6HqgxkTt9KGyt27zYrwVan', '7iXYHQPYLQSz3b3hbPJpk3', '2pG0eQLB8CbmmWWmjJi4yd', '6TOKWuw816UU34AE4MCZqr', '6AT27ojKlBuZToFIGwQZDc']","['Super Yei', 'Towy', 'Osquel', 'Beltito', 'Sammy & Falsetto']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2tFwfmceQa1Y6nRPhYbEtC,CÓMO SE SIENTE - Remix,85,227520,"['0EFisYRi20PTADoJrifHrz', '4q3ewBCX7sLwd24euuV69X']","['Jhay Cortez', 'Bad Bunny']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1V5QyGNrBtBbKoIxyFnhLf,Chama,61,193546,"['0BqURncJM5B1BBu7UM51eq', '1Ts9of7VPZElwPQnqnDSfW']","['Guaynaa', 'Lyanno']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
52zq2a71SGs3f1vJuv59ui,Como Llora,81,187500,7zY0DMisq1oYXvNNgGwHBY,Juanfran,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
