track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7ndTONDDRFGiPnnhOzOXxq,La Nota,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,61qU7ompl7BKKGEgsbO4Ly,216107,2020-10-08,39,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,7ndTONDDRFGiPnnhOzOXxq,7ndTONDDRFGiPnnhOzOXxq
4uoR6qeWeuL4Qeu2qJzkuG,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,3GrNH56DyfyEvBAZ3Otptm,200197,2020-07-29,95,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,4uoR6qeWeuL4Qeu2qJzkuG,4uoR6qeWeuL4Qeu2qJzkuG
4HYDUMY0xSpeBr0AMY9cUz,La Curiosidad,2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,5sEpXan86hEcM8eZSAoWhw,219048,2020-06-12,93,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4HYDUMY0xSpeBr0AMY9cUz,4HYDUMY0xSpeBr0AMY9cUz
7x4ASXYEKfQBCewcZhK776,"Ay, DiOs Mío!",790FomKkXshlbRYZFtlgla,KAROL G,1mMUBQXa70gHyUjK0Q0u63,189653,2020-07-10,93,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,7x4ASXYEKfQBCewcZhK776,7x4ASXYEKfQBCewcZhK776
2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,3E6xrwgnVfYCrCs0ePERDz,Wisin,5F7rUv9XZPAnNfeKCYkqZS,213313,2020-09-23,78,0.823,0.821,8,-3.402,0,0.166,0.31,4.28e-06,0.143,0.791,99.999,2bgcUk2A3jjKbCJ7KPquTi,2bgcUk2A3jjKbCJ7KPquTi
3kml9ZdpT7UYk1ugkjqOzt,Don Don,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,5xBO97P4jYEn69VzV06503,275893,2020-09-11,85,0.838,0.819,5,-4.681,0,0.211,0.285,6.3e-05,0.224,0.656,105.027,3kml9ZdpT7UYk1ugkjqOzt,3kml9ZdpT7UYk1ugkjqOzt
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,230693,2020-09-04,88,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,5y7DaS3jAc9eZzcSOoUIwU,5y7DaS3jAc9eZzcSOoUIwU
15OjBeqNX3bShsGYQbteRv,La Tóxica,329e4yvIujISKGKz1BZZbO,Farruko,1R0ocprmeDu8ZkZn29xYFx,180520,2020-07-24,89,0.659,0.701,9,-4.107,1,0.164,0.0882,0.0,0.0866,0.623,91.97,15OjBeqNX3bShsGYQbteRv,15OjBeqNX3bShsGYQbteRv
1UHcnP31sAKOJFrEnyRNUz,Amantes y Amigos,4SsVbpTthjScTS7U2hmr1X,Arcangel,1ymAOPs0Z1p78Me8UbddOK,182626,2020-10-02,71,0.695,0.712,5,-4.09,1,0.153,0.369,0.0,0.101,0.468,171.861,1UHcnP31sAKOJFrEnyRNUz,1UHcnP31sAKOJFrEnyRNUz
3GtnId3Cm1Xa6joCj08nzW,Jeans,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,2CihHxhe77TEB6YEWBRVru,185840,2020-08-14,87,0.807,0.656,3,-4.395,0,0.105,0.0165,0.0,0.0693,0.89,83.943,3GtnId3Cm1Xa6joCj08nzW,3GtnId3Cm1Xa6joCj08nzW
