playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1tLHZHOkEVR,Wedding Party,148,spotify,Spotify,249816
37i9dQZF1DX4adj7PFEBwf,Wedding Bells,60,spotify,Spotify,241021
37i9dQZF1DX3Z99viCDp7Q,Wedding Songs,42,spotify,Spotify,145208
7qKonwKBVT9xMoX6ePhlG9,Wedding Songs ,81,laurennstanley,laurennstanley,67530
2kkzjG0JxeL0Lk3VPiwx9n,Wedding First Dance Songs & Ideas (Playlist),217,117687144,Matt Johnson,38465
37i9dQZF1DXbTR7abB7Ji7,Classical Wedding,42,spotify,Spotify,32125
37i9dQZF1DX6u0kO0LnVfA,Punjabi Wedding,50,spotify,Spotify,31631
37i9dQZF1DWXtn4mSM1Su9,Arab Wedding,30,spotify,Spotify,30550
6ZnPVVQBBUkRLdul5HP0z3,Wedding Ceremony Songs (Playlist),167,117687144,Matt Johnson,29566
43eWkIiNDbimyD35iong1G,Wedding Songs 2020,59,warnermusicus,Topsify US,20556
0kkP1ePcVc0BFFIM4Mf1pb,Country Wedding Songs,114,soundslikenashville,Sounds Like Nashville,18273
5IgTRRVwq2UEN5T1iCBJNN,Wedding Love Songs 2020,123,nettwerkmusic,NettwerkMusic,15791
1KhQb9ZfDo7VgURJtkkkX1,Country Wedding Songs  💍 Country Love Songs ❤️,170,osicktk,Pure Country,14494
37i9dQZF1DX08H7nWHvEIf,Wedding Bhangra,55,spotify,Spotify,13450
0jjtbl8gnnkvRxCkGnmjAk,Wedding Reception 2020,58,sxylz85xvosjuatmzpg71jfxl,Martin Garlic,10998
62mNggxlpwgKQllIOXSPTf,Wedding Songs (English & Tagalog mix),47,7uykt825kdgqomp8t495dx10l,Kirby A.,9752
4nlN23W5IB8MnVLMP7s62y,Acoustic Wedding Songs - 2020 - 2019 New Playlist,146,117687144,Matt Johnson,9609
1Yue7lUm3lifLTjE1B7K1w,Wedding Instrumental Music,40,brooklynduo,Brooklyn Duo,8911
3wHpxhXzcIKHVEgxKCSU11,Wedding Dinner Music,162,12121880385,Deb Parker,8726
1o1RakJXDw6WtHNmaCLn4e,Indian Wedding,65,filtrindia,Filtr India,8111
34HTIw5In5TszIVWqJKcQT,Father Daughter Wedding Dance Songs,20,aunestyj,aunestyj,7870
1n2nOmGBveTCGSCC1YxEpQ,The Wedding Singer Full Soundtrack,27,1217319485,Dan Lewis,7557
03NwRS2uuK2vj4bQaORSpz,Top 200 Wedding Party songs,235,129421500,129421500,7313
6ZUB4KFfWeYMjxKnzbAWgX,Wedding First Dance,124,737imwh2x6hu310n4e6fkg051,Meritage Entertainment,7200
6ijeKuu81SXXkY1KbUr7g2,Christian Wedding Songs,97,freeccm,Freeccm Playlists,6774
6y0q5ka7d85sTRccDrUAap,"Wedding Songs for your Ceremony, Reception or First Dance",282,zkittenz,zkittenz,6556
5aGfPUbL8cmXTDcmMip4LR,Oldies Dance Party/Wedding,91,1226702294,Caitlin Hornsby Cadden,5661
2tYBsYfEo7Lxi3CiVjI2L1,Wedding Party Playlist🍾🎉,175,1212355624,1212355624,5488
6Qvs2j7tFhsxpWtnxCy6Q5,Wedding Songs (Acoustic & More),110,lwed33yg4ldh25qvm6anhaktf,The Acoustic Room,5063
6I4j3UQ34FLIJqZoqIz5Wl,Newfie bay wedding,62,8rb745gpbtw1ugmjv8iu8ixkh,Brandonwst.croix,4920
1HuXYX4Xwl3W0Q21odOqS6,Top 100 Wedding Dance Songs,164,123982462,John Luzzi,4135
4k894zvcfZtW7YbLPqUNCW,WEDDING PIANO COVERS,27,hankinsonmusic,hankinsonmusic,4075
3Vk6NuKYqbAIkvKIns75EU,First Dance Wedding Songs,133,alambarri-mx,Anabella Lámbarri,4029
65qopYyUxBX3Ju3izCkhfz,Best Wedding Playlist,74,121367781,Spencer Semonson,3692
1vswIM15crUJP2BEVTlhuA,Wildflower Wedding,47,0vuw5kwn4xtgb8rqdf5vpm68m,Pelican House,3603
1vswIM15crUJP2BEVTlhuA,Wildflower Wedding,47,0vuw5kwn4xtgb8rqdf5vpm68m,Pelican House,3603
