track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4rmPQGwcLQjCoFq5NrTA0D,Uptown Funk (feat. Bruno Mars),3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,0tWBtc7le3TMo1gDdGyJVI,270626,2014-11-24,26,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,115.004,4rmPQGwcLQjCoFq5NrTA0D,4rmPQGwcLQjCoFq5NrTA0D
0J0BaGhxYzxdjhsOsyNwWO,Superstition,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,1RspINIRNK1WiHUHoYqdXx,266133,1999-11-23,0,0.62,0.615,8,-12.902,1,0.0687,0.0464,0.00607,0.0454,0.883,101.821,0J0BaGhxYzxdjhsOsyNwWO,0J0BaGhxYzxdjhsOsyNwWO
7IFrc7EJpIAYRCqWEQWYHc,"December, 1963 (Oh, What a Night)",6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,7oWx4auBp2kCb54VkRCCUq,193893,2014-06-20,44,0.724,0.663,1,-7.451,1,0.025,0.0697,3.77e-06,0.124,0.964,104.41,7IFrc7EJpIAYRCqWEQWYHc,7IFrc7EJpIAYRCqWEQWYHc
61ukXvkg6KwCZDiyexVDsD,Build Me up Buttercup,4GITZM5LCR2KcdlgEOrNLD,The Foundations,2GRx6M5iaEWssVFYfzjEuL,179506,2013-01-10,0,0.623,0.644,0,-3.566,1,0.0306,0.352,0.0,0.354,0.899,67.01,61ukXvkg6KwCZDiyexVDsD,61ukXvkg6KwCZDiyexVDsD
2goLsvvODILDzeeiT4dAoR,Believe,72OaDtakiy6yFqkt4TsiFt,Cher,0jZfbz0dNfDjPSg0hYJNth,239026,1998,75,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,2goLsvvODILDzeeiT4dAoR,2goLsvvODILDzeeiT4dAoR
5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,2lkQd5T32QHDOfFkEIPJKz,232720,2014-03-03,9,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,5b88tNINg4Q4nrRbrCXUmg,5b88tNINg4Q4nrRbrCXUmg
3AszgPDZd9q0DpDFt4HFBy,Hey Ya! - Radio Mix,1G9G7WwrXka3Z1r7aIDjI7,OutKast,7etFl9qeqjD0luC40JAg8l,239240,2003,64,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,3AszgPDZd9q0DpDFt4HFBy,3AszgPDZd9q0DpDFt4HFBy
5XsMz0YfEaHZE0MTb1aujs,Wake Me Up Before You Go-Go,5lpH0xAS4fVfLkACg9DAuM,Wham!,0CpBTGH3Eewlbw35IclPdm,230693,1984-10-23,0,0.618,0.764,0,-6.027,1,0.0562,0.186,0.0,0.12,0.876,81.366,5XsMz0YfEaHZE0MTb1aujs,5XsMz0YfEaHZE0MTb1aujs
4uLU6hMCjMI75M1A2tKUQC,Never Gonna Give You Up,0gxyHStUsqpMadRV0Di1Qt,Rick Astley,6N9PS4QXF1D0OWPk0Sxtb4,213573,1987-11-12,76,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4uLU6hMCjMI75M1A2tKUQC,4uLU6hMCjMI75M1A2tKUQC
1QxlG2lGedOmKgSMEDcR8D,What Makes You Beautiful,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,3GkCmaJqWkEvlUU3gOqdSe,198693,2011-10-28,17,0.699,0.827,4,-1.443,1,0.0698,0.0058,0.0,0.0776,0.837,124.988,1QxlG2lGedOmKgSMEDcR8D,1QxlG2lGedOmKgSMEDcR8D
