playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX70RN3TfWWJh,Workout,100,spotify,Spotify,4017931
37i9dQZF1DWUVpAXiEPK8P,Power Workout,50,spotify,Spotify,3444435
37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout,50,spotify,Spotify,1651641
37i9dQZF1DX9ZKyQHcEFXZ,Perreo Workout,50,spotify,Spotify,1618329
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1192713
37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout,80,spotify,Spotify,1068964
37i9dQZF1DX8CwbNGNKurt,Throwback Workout,50,spotify,Spotify,1034419
37i9dQZF1DWUSyphfcc6aL,Workout Beats,70,spotify,Spotify,743564
37i9dQZF1DX3ZeFHRhhi7Y,Fantastic K-Workout,50,spotify,Spotify,456845
12R8HZh3GHUw1c4sgPtu6x,Workout Mix,103,digster.co.uk,HITS,449556
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,437483
37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout,75,spotify,Spotify,381483
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,353125
37i9dQZF1DWVciwe52Zt0R,Workout Hits,47,spotify,Spotify,330147
37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout,80,spotify,Spotify,327290
37i9dQZF1DXaRL7xbcDl7X,Indie Workout,100,spotify,Spotify,281856
0L33OqcgnqcdtUDhUAyfPW,Workout Music 2020 ⚡Trap Gym Playlist ⚡Magic Music,96,magicmusicsquad,Magic Records,273244
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / Hip Hop / Rap 2020,130,uptown_as,uptown_as,246193
37i9dQZF1DWZY6U3N4Hq7n,80s Workout,80,spotify,Spotify,232007
37i9dQZF1DX73EtbU4jEcn,Top Hits Workout,97,spotify,Spotify,183221
37i9dQZF1DXaL0oUdaMtnP,90s Workout Beats,50,spotify,Spotify,173545
4gfcmZSdAZr6x8W1gwNOEw,Training / Workout Motivation,119,kderqubwka59pl3fms356iw07,Felix,172146
37i9dQZF1DXcdGxYPVUKPf,Dwayne Johnson's Progress Workout Playlist,35,spotify,Spotify,171211
7AiuMp1D8Hli18nyTbriZ9,Workout Playlist 2020 👊 💦,81,metrmusic,metr,166655
2237sMNMlXS4wWLgdQ1UuV,Workout Motivation 2020💪,161,0m032eeptq5o63mbnwtfpybct,Jay Cutler,162772
37i9dQZF1DWTc6X3ssl601,90s Workout,50,spotify,Spotify,154619
190wZ2oVo7MTrBvNlPiub2,"Workout Music 2020, Gym Music, Treino, Cardio Music, Training Music, Fitness Motivation, Bass Music",96,ndnto1q1sqfpl6r7uvuyfzo0q,BLACK DOT,141246
11qWQdznqIoLPfJMxpNb8q,GYM & WORKOUT - ENERGY BOOST,134,hn3s7hr0kwnzso23cvu6ur1r9,The FifthGuys,140637
7JdjKf594hrtR779LuJQbA,EDM Workout Pump-Up,337,jerryjchen,htownlu8907,131004
71z6BdHlnfNj4DKRhuu1Fk,EDM WORKOUT MUSIC 💪,135,tribaltrap,Tribal Trap,125639
27gPjBi103Yuo4vo8oCTB7,Motivation Mix 2020 -Best Workout Music 2020 🔥🔥 Gym Motivation Music 🔥 Workout Mix2020,54,fgg5neicv19g3a5d4wbikmsch,joana,115594
37i9dQZF1DX9s3cYAeKW5d,Hip-Hop Workout Mix,77,spotify,Spotify,88835
2kInpNnxZcN4e0IrGGlEbK,EDM Workout Bangers 🏃,76,kfvshl89wr6t8eevqv4t2igdq,BLNDR,88514
3dlwkK57H6tzAZaFAVE8rQ,Upbeat Workout,140,popmob,Topsify Australia,78518
4XIEV4NaByrujFUjFoG32v,Workout Beats 2020,90,selectedbase,Selected.,77832
793uPevBrp5ELc7K5qCRCR,Workout Hits,26,khy8735zauaoenby8w2yyawpm,Marco Herrera,77061
37i9dQZF1DX2kYlCXfAtBf,Soul Workout,33,spotify,Spotify,75538
5c8RRXb75lwBSpScVDJHwq,Workout Motivation Music 💪 Gym Workout Beats for Cardio & Fitness Training | Treino 2020,93,ud7rjbzht60ftfz1kw796poev,Afterpeak,71239
3rS0x2eXYOqJtGCpLSTPyh,Crossfit Workout,66,warner.music.central.europe,Topsify Deutschland,67287
37i9dQZF1DXdMm3yYbD7IO,90's Workout,150,spotify,Spotify,62328
37i9dQZF1DX3wwp27Epwn5,Bollywood Workout,60,spotify,Spotify,61815
6OYotTABkAcQOPgFzBubJY,Christian Workout Mix,36,capitolchristianmusicgroup,Capitol Christian Music Group,58565
37i9dQZF1DXbeUHEkt5uXG,Home Workout,50,spotify,Spotify,54182
74kIc2VXWcSbISoIbBBnI7,Workoutalicious,222,marillew,marillew,52028
3ybnF1ZkG9Y2LZhr15eFQi,"Gym Motivation, Workout Motivation, Training Motivation, Gym Music, Workout Music, Training Music",256,manifesto.,1115568367345,51943
5nOO372uzpOM5rB2bRWfkp,Hard Rock Workout,77,venture.music,Venture Music,48535
37i9dQZF1DWUX4dHd4gmc7,Workout Hip Hop,117,spotify,Spotify,48517
0TsHgCCpifeNJg3d8z3Nfv,EDM Workout 2020 | Training Hits,71,11124443444,Naeleck,42901
5MiUNFzBc7Y1Ccq7iEtex5,Pop Workout 2020,100,digster.au,Digster AU,42063
5WtQixjUNNvtMVEWT8ew6r,✨ WAP WORKOUT ✨,51,abbehbernes,abbehbernes,40091
3I3wu02ai6yttI2fbAjI7O,WORKOUT REMIXES,154,krissswashere,Kris Hui,38262
54HzOeNpu6VaS766KNe2rh,WORKOUT INSTRU,33,8zszijevu2jzhjb6y70033cpy,AK,35719
1GfuMQxvw8BcgUx0ozH3fl,Workout Playlist,86,myplay.com,Filtr US,32891
37i9dQZF1DXa56nCfFVHm7,R&B Workout,55,spotify,Spotify,32623
37i9dQZF1DWWdHnKrQaItY,Kids Workout,53,spotify,Spotify,25838
54zKHXQdjJYQc5srgpjOjm,WORKOUT RAP 💪,191,12156442880,Jae Yong Park,24168
1Cf5GEFnr8VmV5OzSLKhyn,EDM Workout Playlist,22,ktuhu6p91un41sx06qw2mcm79,Powered Up,23357
7yFlt3AxHmS0Y20y2ObOzM,🥊 Boxing Workout 🥊,276,jcgzxvc4sowa8e4wzgufdcp6u,Stephen GFX,22730
282qSXRozIyie7XchArY2o,Workout Songs 2020 - Best Gym Playlist 2020,61,redmusiccompany,redmusiccompany,20741
7bN9SOW0HJhzaXiukGKrM0,Workout Pop Hits,337,adrian308-my,adrian308-my,20541
1LfDku0a4hVyz33yrFN8Ru,Rocky Balboa - Workout Motivation,25,31wmpclv3i4zpzptj6qnmojzonea,Marcus Alfred Ousdal,20080
37i9dQZF1DWYFxWneFvmP1,Workout Viral,50,spotify,Spotify,19722
4WRPDSWFngETplxQIFPYCy,Kpop Workout 💪🏼,232,beafloro570,beafloro570,18734
3CdZIxeMIkbSjZAB0H5AEx,Dwayne The Rock Johnson Workout Playlist & pre workout motivation,57,1118085107,Danny Behnam,18637
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,126,spotify,Spotify,18237
47PeEjDhltLUry8GTSIEUP,Dwayne Johnson Workout Playlist ,79,vtazkew2v01n0wqhdy1ebn2ji,Loud Memory,18158
12xgLeTIUrC5A6UhjHQoch,GYM MOTIVATION & WORKOUT MUSIC,137,fitleague,fitleague,15664
2V0gyT0QmFdURZMO6V8uBC,DUBSTEP WORKOUT,53,fitleague,fitleague,15436
6XNhc4jz2aT8aQY23fJ4BT,WORKOUT,93,hph3obsm8zssf5e1no3bwkhct,CloutBase Media,15193
0cCG38OjT3qO0Pd4mg8j1z,Rock Workout - Gym Music,107,j17i1i49aoi7gsfn23oemdie4,Hear Hear,12642
5c32pMh10kzjY7KDjeNNE6,Workout Music 2020 ,120,43xzlwfo0tft7hn5r5e6dksrd,LoudKult,11836
4ILF3S2MVHorqtNG2yYF1h,"Workout 2020, Dance Workout, Gym Music, Motivation Music, Power Workout, Home Workout. Get fit, ",92,11146921617,Danny Dove,11712
4xdujGqwNnAn5gC0yFRWMZ,WORKOUT SONGS 2020 🏋️‍♀️💪💪,102,nkqjz10d3n8n5jz8zy0aql6x2,Sands Random,11563
5nQrMpkyWmxPX0gk74htMk,Hard Rock Workout!,84,1131173956,1131173956,11307
4VxSECZIzYKlPLqB3IYvVX,Hard Workout💪😤,94,alexsvaale,alexsvaale,10962
3w2Bp5WHbyQQwhoolEZJ9J,Crossfit Workout Motivation 2020,59,75i1ollvn1zu325iu41euj9bx,WIRED AU,10572
37i9dQZF1DX8To1hlfhp7U,Workout Bhangra,72,spotify,Spotify,10181
2DrF7jL2DhpmdcdBOQpTdP,Workout Songs - Hindi & English,42,21bndtml2xod5dachhq7v5xxq,Ankit Agrawal,8822
4WZS2CWrUd86DUDJnsdXEq,METAL WORKOUT MUSIC,1051,thomas7503,Thomas Skotheim,8402
0RktJgPjtKidgeohb3m6qj,Workout Latino 2020,46,maale21,Maria Alejandra Blanchard,7018
4VNoBPoVMmi1voSRbjwgQc,Workout Rock Music,278,21vaxuj66gwrfkxaumqkl3wqa,John Kubiszewski,6613
4lsVZ4hN2X4AqwahQPcodl,Training - Gym Motivation - Workout,67,mxvwaq3pl22pk0ikp8xe8pyky,Musicolist,6059
18Zar95PYYi0ju0QeJeTWu,Eminem Workout Insane Workouts Only,26,roberto40390,roberto40390,5203
4wJJY7tYsrxhHGpGYuJo7K,WORKOUT RAP 2020 🔥,50,b2umpujki69td3thrxvmu0ajn,Bass Lovers,3297
396scwjxaM6xAAjYB5Pbfq,gym workout (bollywood),26,tabvlg41p89ng3z8900lp7dwn,dhwani,2235
4F3RGTaMM4TqlCxdKdog5H,Workout Songs 2020 💪 Gym and running movitation 👊,76,allison.enloe,allison.enloe,1927
0I3w1r7qXxd8rVBkWVkXbn,Workout: 2000s Throwback Faves,30,1p9no00m8sfjb63zd52v6ghgi,jerabean,1821
6H228w0iL4k4khPXgFBQhD,Workout Gems,68,6kpwto04xn8jlbuddz7maytbc,GumoDumo,882
2IcE25kQQqJArWPfbwIiYN,workout (highlight reel),114,tylrnguyen,tyler,536
1ESKp1LouewwZHJV2pdkVI,Workout Beats,51,39ijv9ahjz217ozin1sudcwis,Philipp,394
