track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1InCpEliLCkWHOBdXW7XSx,Kings & Queens,85,162398,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,37i9dQZF1DX70RN3TfWWJh,Workout
2fTdRdN73RgIgcUZN33dvt,"Baby, I'm Jealous (feat. Doja Cat)",0,175873,"['64M6ah0SkkRsnPGtGiRAbb', '5cj0lLjcoR7YOSnhnX0Po5']","['Bebe Rexha', 'Doja Cat']",2,37i9dQZF1DX70RN3TfWWJh,Workout
4L4lClgi5m2Itz6Fgt750F,First Time,0,146910,6Dd3NScHWwnW6obMFbl1BH,Daya,1,37i9dQZF1DX70RN3TfWWJh,Workout
2LAqcZuU9nbOZrC7Nzdvtu,So Sick (feat. blackbear),0,150942,"['4u5smJBskI6Adzv08PuiUP', '2cFrymmkijnjDg9SS92EPM']","['Kiiara', 'blackbear']",2,37i9dQZF1DX70RN3TfWWJh,Workout
0g4xPTe9fP1gPiXPMQKj7Z,Not a Pop Song,0,179413,3e7awlrlDSwF3iM0WBjGMp,Little Mix,1,37i9dQZF1DX70RN3TfWWJh,Workout
6q9xZvva2Itcv5gfcfrApe,Deeper,52,167669,7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,1,37i9dQZF1DX70RN3TfWWJh,Workout
5hvwx5i67IwnCkjl9VHkNv,Diamonds,86,213869,2wY79sveU1sp5g7SokKOiI,Sam Smith,1,37i9dQZF1DX70RN3TfWWJh,Workout
0KU7sp0ABZQrJFWEeXagMO,OMG What's Happening,74,179831,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,37i9dQZF1DX70RN3TfWWJh,Workout
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),93,212093,"['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']","['Justin Bieber', 'Chance the Rapper']",2,37i9dQZF1DX70RN3TfWWJh,Workout
5XnDUr04O83sHaWfqOr6ak,Palm Springs (the way you made me feel),56,170051,3v9wPA58IVrX2dg6AjSPgi,Virginia To Vegas,1,37i9dQZF1DX70RN3TfWWJh,Workout
6qI0MU175Dk2DeoUjlrOpy,911,80,172133,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,1,37i9dQZF1DX70RN3TfWWJh,Workout
6lhZLbb0czULpjb2kFryPS,Let's Love,80,200645,"['1Cs0zKBU1kc0i8ypK3B9ai', '5WUlDfRSoLAfcVSX1WnrxN']","['David Guetta', 'Sia']",2,37i9dQZF1DX70RN3TfWWJh,Workout
0xEz3xO1V18R3z9p2kni5C,Everybody Wants You,67,200861,6aX6KqXgEcARRHwvWxHcFW,Johnny Orlando,1,37i9dQZF1DX70RN3TfWWJh,Workout
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,85,159862,"['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp']","['Marshmello', 'Demi Lovato']",2,37i9dQZF1DX70RN3TfWWJh,Workout
2ICse7t8MB60EFk6o9aUyw,Who's Laughing Now,80,180348,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,1,37i9dQZF1DX70RN3TfWWJh,Workout
2k0e6dy1tx7fE6m126Ydfw,Ice Cream (with Selena Gomez),69,175813,"['41MozSoPIsD1dJM0CLPjZF', '0C8ZW7ezQVs4URX5aX7Kqx']","['BLACKPINK', 'Selena Gomez']",2,37i9dQZF1DX70RN3TfWWJh,Workout
3ZWhRS2EJVL5B0IEzkcvZa,Sweet & Sour (feat. Lauv & Tyga),77,163228,"['56mfhUDKa1vec6rSLZV5Eg', '5JZ7CnR6gTvEMKX4g70Amv', '5LHRHt1k9lMyONurDHEdrp']","['Jawsh 685', 'Lauv', 'Tyga']",3,37i9dQZF1DX70RN3TfWWJh,Workout
0kTIH2zbc1jvIHoCOCoNnr,you broke me first - Luca Schreiner Remix,66,192338,"['45dkTj5sMRSjrmBSBeiHym', '5fiYAV2DWASxAUKDq7Gbe9']","['Tate McRae', 'Luca Schreiner']",2,37i9dQZF1DX70RN3TfWWJh,Workout
2Kki4MvKJuZJgB6UPCpKJB,Lois,56,174702,2LgklPXmvWVOQfzPVkuChg,Scott Helman,1,37i9dQZF1DX70RN3TfWWJh,Workout
0SNRdDkKv7MwaAtTxEsOil,Between Our Hearts (feat. CXLOE),49,221949,"['7DMveApC7UnC2NPfPvlHSU', '6M25WWmNO7wK1DnKmd3z6R']","['Cheat Codes', 'CXLOE']",2,37i9dQZF1DX70RN3TfWWJh,Workout
