track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1InCpEliLCkWHOBdXW7XSx,Kings & Queens,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,6B1U2tJse7tS9Yi4VJjZAA,162398,2020-09-18,85,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,1InCpEliLCkWHOBdXW7XSx,1InCpEliLCkWHOBdXW7XSx
2fTdRdN73RgIgcUZN33dvt,"Baby, I'm Jealous (feat. Doja Cat)",64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,2N367tN1eIXrHNVe86aVy4,175873,2020-10-09,41,0.737,0.867,11,-2.259,0,0.0458,0.0398,0.0,0.32,0.506,98.05,2fTdRdN73RgIgcUZN33dvt,2fTdRdN73RgIgcUZN33dvt
4L4lClgi5m2Itz6Fgt750F,First Time,6Dd3NScHWwnW6obMFbl1BH,Daya,3brTW6AYnC94Uafukxvhcu,146910,2020-10-09,30,0.552,0.628,0,-6.897,1,0.292,0.701,1.9e-05,0.399,0.672,101.928,4L4lClgi5m2Itz6Fgt750F,4L4lClgi5m2Itz6Fgt750F
2LAqcZuU9nbOZrC7Nzdvtu,So Sick (feat. blackbear),4u5smJBskI6Adzv08PuiUP,Kiiara,0AUG7Sa8IIiCHTW6GONdf2,150942,2020-10-09,29,0.751,0.544,7,-7.073,1,0.0581,0.149,1.56e-05,0.513,0.392,118.048,2LAqcZuU9nbOZrC7Nzdvtu,2LAqcZuU9nbOZrC7Nzdvtu
0g4xPTe9fP1gPiXPMQKj7Z,Not a Pop Song,3e7awlrlDSwF3iM0WBjGMp,Little Mix,7mE4YBgBJkUSnv8fLv4TJy,179413,2020-10-09,44,0.624,0.651,0,-4.715,1,0.0372,0.279,0.0,0.0782,0.355,139.115,0g4xPTe9fP1gPiXPMQKj7Z,0g4xPTe9fP1gPiXPMQKj7Z
6q9xZvva2Itcv5gfcfrApe,Deeper,7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,3DBUdoYHa8LvyHGI9pN4Cv,167669,2020-09-18,52,0.577,0.796,0,-6.224,1,0.193,0.266,0.0,0.16,0.453,106.053,6q9xZvva2Itcv5gfcfrApe,6q9xZvva2Itcv5gfcfrApe
5hvwx5i67IwnCkjl9VHkNv,Diamonds,2wY79sveU1sp5g7SokKOiI,Sam Smith,2IAyprsfyoPBGDvbLjgsN5,213869,2020-09-17,86,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,5hvwx5i67IwnCkjl9VHkNv,5hvwx5i67IwnCkjl9VHkNv
0KU7sp0ABZQrJFWEeXagMO,OMG What's Happening,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,6B1U2tJse7tS9Yi4VJjZAA,179831,2020-09-18,74,0.698,0.854,9,-3.84,0,0.0451,0.101,0.0,0.107,0.931,124.042,0KU7sp0ABZQrJFWEeXagMO,0KU7sp0ABZQrJFWEeXagMO
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4hR7jjsPvRwwcHx8ntJSQS,212093,2020-09-18,94,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,5u1n1kITHCxxp8twBcZxWy,5u1n1kITHCxxp8twBcZxWy
5XnDUr04O83sHaWfqOr6ak,Palm Springs (the way you made me feel),3v9wPA58IVrX2dg6AjSPgi,Virginia To Vegas,2OJ9v18og8MMQPRIQqGTbw,170051,2020-09-18,56,0.778,0.565,11,-5.657,1,0.277,0.0765,1.78e-05,0.306,0.884,103.906,5XnDUr04O83sHaWfqOr6ak,5XnDUr04O83sHaWfqOr6ak
